locus	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
432	3	9970732	11226367	2156	268	LBD_chia2021	MS_imsgc2019	0.025226	-0.43295	0.47257	0.000636349	0	0.28315	0.903893
432	3	9970732	11226367	2156	268	LBD_chia2021	PD_nalls2019	0.201555	-0.01645	0.44882	0.0406243	0	0.20144	0.0762288
432	3	9970732	11226367	2156	268	LBD_chia2021	SCZ_pardinas2018	0.167845	-0.15635	0.51187	0.0281719	0	0.26201	0.295666
432	3	9970732	11226367	2156	268	LBD_chia2021	UC_delange2017	-0.330374	-0.83878	0.07982	0.109147	0	0.70355	0.116889
432	3	9970732	11226367	2156	268	MS_imsgc2019	PD_nalls2019	-0.37836	-0.64181	-0.1641	0.143156	0.02693	0.41192	0.00085401
432	3	9970732	11226367	2156	268	MS_imsgc2019	SCZ_pardinas2018	-0.0364109	-0.38363	0.28771	0.00132575	0	0.16041	0.820708
432	3	9970732	11226367	2156	268	MS_imsgc2019	UC_delange2017	-0.355261	-0.89471	0.05635	0.12621	0	0.80051	0.0932619
432	3	9970732	11226367	2156	268	PD_nalls2019	SCZ_pardinas2018	0.0314317	-0.12488	0.19127	0.000987951	0	0.03748	0.696482
432	3	9970732	11226367	2156	268	PD_nalls2019	UC_delange2017	0.157267	-0.06591	0.40216	0.024733	0	0.16173	0.166793
432	3	9970732	11226367	2156	268	SCZ_pardinas2018	UC_delange2017	-0.341545	-0.72087	-0.02547	0.116653	0.00251	0.51966	0.0347517
438	3	16084006	17182494	2209	219	LBD_chia2021	MS_imsgc2019	-0.195768	-0.62001	0.18808	0.0383252	0	0.38688	0.305869
438	3	16084006	17182494	2209	219	LBD_chia2021	PD_nalls2019	0.115119	-0.12649	0.36366	0.0132524	0	0.13225	0.346887
438	3	16084006	17182494	2209	219	MS_imsgc2019	PD_nalls2019	-0.0707435	-0.31812	0.17407	0.00500464	0	0.1033	0.556471
439	3	17182495	19030988	1996	133	ALS_vanrheenen2021	CD_delange2017	0.266816	-0.16555	0.76469	0.071191	0	0.58475	0.218973
439	3	17182495	19030988	1996	133	ALS_vanrheenen2021	PD_nalls2019	0.0121987	-0.3042	0.3379	0.000148809	0	0.13742	0.937101
439	3	17182495	19030988	1996	133	ALS_vanrheenen2021	SCZ_pardinas2018	0.116382	-0.34231	0.60415	0.0135448	0	0.37761	0.595972
439	3	17182495	19030988	1996	133	CD_delange2017	PD_nalls2019	0.176476	-0.09668	0.46565	0.0311437	0	0.21683	0.204218
439	3	17182495	19030988	1996	133	CD_delange2017	SCZ_pardinas2018	-0.00451681	-0.42716	0.41643	2.04016e-05	0	0.23945	0.982142
439	3	17182495	19030988	1996	133	PD_nalls2019	SCZ_pardinas2018	0.125601	-0.16884	0.42217	0.0157757	0	0.17849	0.377123
448	3	27614909	28649810	1387	128	MS_imsgc2019	PD_nalls2019	0.00827377	-0.24424	0.2681	6.84553e-05	0	0.08749	0.948137
457	3	36840137	38729767	2678	229	PD_nalls2019	SCZ_pardinas2018	0.256599	0.02153	0.50436	0.0658428	0.00135	0.25438	0.0325528
457	3	36840137	38729767	2678	229	PD_nalls2019	UC_delange2017	-0.245875	-0.58183	0.06139	0.0604545	0	0.33853	0.111011
457	3	36840137	38729767	2678	229	SCZ_pardinas2018	UC_delange2017	0.301503	-0.04897	0.69641	0.0909039	0	0.48499	0.0860027
464	3	47588462	50387742	1549	66	CD_delange2017	PD_nalls2019	0.0194226	-0.24809	0.28518	0.000377236	0	0.09389	0.882729
464	3	47588462	50387742	1549	66	CD_delange2017	SCZ_pardinas2018	0.184823	-0.17338	0.54532	0.0341596	0	0.2983	0.292528
464	3	47588462	50387742	1549	66	CD_delange2017	UC_delange2017	0.915456	0.77528	1	0.83806	0.60106	1	7.84379e-11
464	3	47588462	50387742	1549	66	PD_nalls2019	SCZ_pardinas2018	0.359442	0.01735	0.74318	0.129199	0.00208	0.55231	0.0429375
464	3	47588462	50387742	1549	66	PD_nalls2019	UC_delange2017	0.137853	-0.11433	0.39035	0.0190034	0	0.1524	0.285323
464	3	47588462	50387742	1549	66	SCZ_pardinas2018	UC_delange2017	-0.0233153	-0.38536	0.33221	0.000543604	0	0.17096	0.892573
466	3	51953969	54074844	2492	190	CD_delange2017	PD_nalls2019	0.471919	0.17907	0.82749	0.222708	0.03207	0.68474	0.00211321
466	3	51953969	54074844	2492	190	CD_delange2017	SCZ_pardinas2018	-0.410716	-0.85204	-0.05323	0.168688	0.00452	0.72597	0.0268354
466	3	51953969	54074844	2492	190	PD_nalls2019	SCZ_pardinas2018	0.139696	-0.10602	0.39256	0.0195149	0	0.1541	0.267278
472	3	59998584	60571139	1757	212	ALS_vanrheenen2021	PD_nalls2019	0.42182	0.18214	0.73616	0.177932	0.03317	0.54194	0.0011539
472	3	59998584	60571139	1757	212	ALS_vanrheenen2021	SCZ_pardinas2018	-0.0432594	-0.42248	0.33087	0.00187137	0	0.19949	0.80951
472	3	59998584	60571139	1757	212	ALS_vanrheenen2021	UC_delange2017	0.163082	-0.25601	0.60991	0.0265959	0	0.37404	0.421704
472	3	59998584	60571139	1757	212	PD_nalls2019	SCZ_pardinas2018	0.028512	-0.17581	0.22644	0.000812936	0	0.05676	0.775501
472	3	59998584	60571139	1757	212	PD_nalls2019	UC_delange2017	-0.108715	-0.3521	0.12152	0.0118189	0	0.12415	0.34987
472	3	59998584	60571139	1757	212	SCZ_pardinas2018	UC_delange2017	-0.0827594	-0.43157	0.23857	0.00684912	0	0.18953	0.612805
476	3	63670804	64662373	1539	203	CD_delange2017	PD_nalls2019	0.0520626	-0.20699	0.32785	0.00271051	0	0.11226	0.685281
476	3	63670804	64662373	1539	203	CD_delange2017	SCZ_pardinas2018	-0.202571	-0.683	0.2101	0.0410349	0	0.46677	0.32937
476	3	63670804	64662373	1539	203	CD_delange2017	UC_delange2017	0.390413	-0.0882	0.79261	0.152423	0	0.63024	0.0885433
476	3	63670804	64662373	1539	203	PD_nalls2019	SCZ_pardinas2018	-0.169255	-0.40812	0.05475	0.0286473	0	0.16656	0.143422
476	3	63670804	64662373	1539	203	PD_nalls2019	UC_delange2017	-0.231091	-0.50934	0.01154	0.0534028	0	0.25942	0.0677374
476	3	63670804	64662373	1539	203	SCZ_pardinas2018	UC_delange2017	0.0302469	-0.40827	0.47213	0.000914873	0	0.26763	0.883708
483	3	71223282	72334704	1890	263	ALS_vanrheenen2021	LBD_chia2021	-0.04047	-0.47228	0.37269	0.00163782	0	0.25582	0.838133
483	3	71223282	72334704	1890	263	ALS_vanrheenen2021	MS_imsgc2019	0.33705	-0.06874	0.81755	0.113603	0	0.66839	0.0980205
483	3	71223282	72334704	1890	263	ALS_vanrheenen2021	PD_nalls2019	-0.121779	-0.37875	0.12178	0.01483	0	0.14345	0.31057
483	3	71223282	72334704	1890	263	ALS_vanrheenen2021	SCZ_pardinas2018	0.0595424	-0.26654	0.38884	0.0035453	0	0.15854	0.70348
483	3	71223282	72334704	1890	263	ALS_vanrheenen2021	UC_delange2017	0.245407	-0.18183	0.72914	0.0602245	0	0.53164	0.238892
483	3	71223282	72334704	1890	263	LBD_chia2021	MS_imsgc2019	0.145312	-0.23779	0.56659	0.0211155	0	0.32206	0.446917
483	3	71223282	72334704	1890	263	LBD_chia2021	PD_nalls2019	0.245476	0.02088	0.47728	0.0602584	0.00121	0.22779	0.0288806
483	3	71223282	72334704	1890	263	LBD_chia2021	SCZ_pardinas2018	-0.389543	-0.7121	-0.1149	0.151744	0.01362	0.50709	0.0080086
483	3	71223282	72334704	1890	263	LBD_chia2021	UC_delange2017	-0.203176	-0.63383	0.18603	0.0412805	0	0.40251	0.298405
483	3	71223282	72334704	1890	263	MS_imsgc2019	PD_nalls2019	0.315217	0.08967	0.57413	0.099362	0.00816	0.32962	0.00622794
483	3	71223282	72334704	1890	263	MS_imsgc2019	SCZ_pardinas2018	0.20314	-0.09616	0.52012	0.0412661	0	0.27052	0.180039
483	3	71223282	72334704	1890	263	MS_imsgc2019	UC_delange2017	-0.180754	-0.65391	0.23379	0.0326719	0	0.42863	0.369419
483	3	71223282	72334704	1890	263	PD_nalls2019	SCZ_pardinas2018	-0.161178	-0.32875	0.00148	0.0259785	0	0.10808	0.0527979
483	3	71223282	72334704	1890	263	PD_nalls2019	UC_delange2017	-0.0799675	-0.32839	0.15592	0.0063948	0	0.1083	0.500266
483	3	71223282	72334704	1890	263	SCZ_pardinas2018	UC_delange2017	0.41293	0.11714	0.76484	0.170511	0.01387	0.58499	0.0078454
507	3	100552523	101906989	1976	133	MS_imsgc2019	PD_nalls2019	-0.071625	-0.27632	0.13642	0.00513014	0	0.07667	0.483957
524	3	118903054	119759983	1654	132	MS_imsgc2019	PD_nalls2019	0.135349	-0.14735	0.43095	0.0183192	0	0.18588	0.339606
540	3	135288395	137372141	2435	137	PD_nalls2019	SCZ_pardinas2018	0.101327	-0.1208	0.32262	0.0102672	0	0.10408	0.369189
544	3	141034638	141898978	1502	140	CD_delange2017	PD_nalls2019	-0.0544212	-0.31486	0.20275	0.00296166	0	0.10274	0.678173
544	3	141034638	141898978	1502	140	CD_delange2017	UC_delange2017	-0.53599	-1	-0.13408	0.287286	0.01839	1	0.0109915
544	3	141034638	141898978	1502	140	PD_nalls2019	UC_delange2017	0.0190961	-0.26962	0.31063	0.000364663	0	0.11344	0.891377
570	3	168972663	170174578	1641	141	MS_imsgc2019	PD_nalls2019	-0.0430945	-0.3078	0.21159	0.00185714	0	0.09873	0.732727
579	3	179372166	181424323	2189	150	PD_nalls2019	SCZ_pardinas2018	0.00604538	-0.21292	0.21879	3.65466e-05	0	0.06135	0.955401
580	3	181424324	183203155	1977	182	CD_delange2017	PD_nalls2019	0.150908	-0.11023	0.42234	0.0227732	0	0.17838	0.243574
585	3	187939200	189451805	2365	245	CD_delange2017	PD_nalls2019	0.100542	-0.12498	0.33566	0.0101087	0	0.11295	0.381257
585	3	187939200	189451805	2365	245	CD_delange2017	SCZ_pardinas2018	-0.463308	-0.84481	-0.13468	0.214654	0.01885	0.7137	0.00644107
585	3	187939200	189451805	2365	245	CD_delange2017	UC_delange2017	0.493318	0.20626	0.76251	0.243363	0.04286	0.58142	0.00232385
585	3	187939200	189451805	2365	245	PD_nalls2019	SCZ_pardinas2018	0.0176238	-0.22989	0.26231	0.000310597	0	0.08024	0.883749
585	3	187939200	189451805	2365	245	PD_nalls2019	UC_delange2017	-0.387214	-0.61726	-0.17485	0.149934	0.03057	0.38101	0.000707351
585	3	187939200	189451805	2365	245	SCZ_pardinas2018	UC_delange2017	-0.303557	-0.66502	0.02459	0.0921468	0	0.44225	0.0700891
597	4	812416	1529267	1097	91	LBD_chia2021	PD_nalls2019	0.648236	0.38888	0.98583	0.42021	0.15123	0.97186	1.48999e-05
610	4	10370667	11050119	1307	134	AD_schwartzentruber2021	PD_nalls2019	-0.0799691	-0.36452	0.19567	0.00639506	0	0.13636	0.55232
624	4	25832019	27385580	1972	229	CD_delange2017	PD_nalls2019	-0.0553458	-0.26153	0.14855	0.00306316	0	0.0694	0.589965
624	4	25832019	27385580	1972	229	CD_delange2017	SCZ_pardinas2018	0.447489	0.17512	0.73993	0.200247	0.03067	0.54749	0.00163397
624	4	25832019	27385580	1972	229	PD_nalls2019	SCZ_pardinas2018	0.0169245	-0.15864	0.19388	0.000286438	0	0.04216	0.847165
670	4	76497359	78045637	3047	196	LBD_chia2021	PD_nalls2019	0.0256355	-0.20254	0.25071	0.000657177	0	0.07023	0.818298
681	4	90236972	91309863	1520	94	LBD_chia2021	PD_nalls2019	0.165316	-0.04951	0.38654	0.0273294	0	0.14942	0.130328
692	4	102544804	104384534	1856	131	CD_delange2017	PD_nalls2019	0.140736	-0.23578	0.5284	0.0198065	0	0.2834	0.447182
692	4	102544804	104384534	1856	131	CD_delange2017	SCZ_pardinas2018	0.985043	0.67171	1	0.970311	0.4512	1	8.40983e-07
692	4	102544804	104384534	1856	131	PD_nalls2019	SCZ_pardinas2018	-0.193577	-0.53133	0.13439	0.0374722	0	0.28232	0.241851
711	4	122655435	123768693	1469	114	CD_delange2017	PD_nalls2019	0.193911	-0.0992	0.48967	0.0376016	0	0.23978	0.184272
711	4	122655435	123768693	1469	114	CD_delange2017	UC_delange2017	0.707123	0.3967	1	0.500023	0.15737	1	0.00058143
711	4	122655435	123768693	1469	114	PD_nalls2019	UC_delange2017	0.025051	-0.33131	0.3951	0.000627552	0	0.18316	0.885342
752	4	169555115	170682809	1554	147	ALS_vanrheenen2021	CD_delange2017	0.369438	0.01144	0.76781	0.136484	0.00211	0.58953	0.0443632
752	4	169555115	170682809	1554	147	ALS_vanrheenen2021	PD_nalls2019	-0.110339	-0.37902	0.14581	0.0121748	0	0.14383	0.386356
752	4	169555115	170682809	1554	147	CD_delange2017	PD_nalls2019	0.525065	0.30762	0.76206	0.275693	0.09463	0.58074	1.01732e-05
758	4	175959698	177129678	1715	164	PD_nalls2019	SCZ_pardinas2018	0.0468872	-0.1685	0.26581	0.00219841	0	0.07204	0.670217
775	5	10043	598320	740	85	LBD_chia2021	PD_nalls2019	-0.0521532	-0.37731	0.27564	0.00271995	0	0.1526	0.738733
775	5	10043	598320	740	85	LBD_chia2021	UC_delange2017	-0.293948	-0.8729	0.19087	0.0864055	0	0.76196	0.226728
775	5	10043	598320	740	85	PD_nalls2019	UC_delange2017	0.144478	-0.16298	0.47322	0.0208738	0	0.22394	0.341877
810	5	39438986	40290851	2069	106	CD_delange2017	UC_delange2017	0.711561	0.5186	0.91881	0.506319	0.26894	0.84422	1.5163e-07
811	5	40290852	41279590	1938	135	CD_delange2017	MS_imsgc2019	0.635479	0.50412	0.76533	0.403834	0.25414	0.58573	2.4332e-15
811	5	40290852	41279590	1938	135	CD_delange2017	UC_delange2017	0.922607	0.76144	1	0.851204	0.57979	1	7.6493e-13
811	5	40290852	41279590	1938	135	MS_imsgc2019	UC_delange2017	0.656155	0.40873	0.95124	0.430539	0.16706	0.90486	6.63511e-06
827	5	59868568	60930753	1479	93	PD_nalls2019	SCZ_pardinas2018	0.0619193	-0.19685	0.32972	0.003834	0	0.11193	0.636717
849	5	87943483	89584466	1328	170	CD_delange2017	MS_imsgc2019	-0.22316	-0.64326	0.15438	0.0498004	0	0.41379	0.237016
849	5	87943483	89584466	1328	170	CD_delange2017	PD_nalls2019	0.0327475	-0.1985	0.26919	0.0010724	0	0.0775	0.777889
849	5	87943483	89584466	1328	170	CD_delange2017	SCZ_pardinas2018	0.0334993	-0.28261	0.33951	0.0011222	0	0.13249	0.825331
849	5	87943483	89584466	1328	170	MS_imsgc2019	PD_nalls2019	0.163014	-0.07653	0.41981	0.0265735	0	0.17624	0.185171
849	5	87943483	89584466	1328	170	MS_imsgc2019	SCZ_pardinas2018	-0.116738	-0.46256	0.19156	0.0136278	0	0.21442	0.465653
849	5	87943483	89584466	1328	170	PD_nalls2019	SCZ_pardinas2018	-0.107484	-0.29359	0.07866	0.0115527	0	0.08639	0.253384
854	5	95117260	96467377	2328	197	CD_delange2017	PD_nalls2019	-0.0428483	-0.2883	0.20632	0.00183598	0	0.08733	0.729078
854	5	95117260	96467377	2328	197	CD_delange2017	UC_delange2017	0.520206	0.23459	0.80356	0.270615	0.05503	0.64571	0.00182037
854	5	95117260	96467377	2328	197	PD_nalls2019	UC_delange2017	-0.173503	-0.49314	0.11817	0.0301031	0	0.24319	0.246233
887	5	130573818	132554690	1953	120	CD_delange2017	MS_imsgc2019	-0.011625	-0.30403	0.26819	0.00013514	0	0.10994	0.933552
887	5	130573818	132554690	1953	120	CD_delange2017	PD_nalls2019	-0.100716	-0.27728	0.06864	0.0101438	0	0.07688	0.252767
887	5	130573818	132554690	1953	120	MS_imsgc2019	PD_nalls2019	-0.180574	-0.45899	0.08343	0.0326069	0	0.21067	0.174391
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	CD_delange2017	-0.14552	-0.60542	0.26562	0.0211761	0	0.36779	0.478111
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	LBD_chia2021	0.0665948	-0.32943	0.4602	0.00443486	0	0.22991	0.721179
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	MS_imsgc2019	0.0287472	-0.35128	0.41015	0.0008264	0	0.19932	0.874261
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	PD_nalls2019	0.0798977	-0.16968	0.33306	0.00638364	0	0.11416	0.515415
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	SCZ_pardinas2018	-0.024578	-0.4128	0.34925	0.00060408	0	0.19777	0.891823
888	5	132554691	134556570	2791	298	AD_schwartzentruber2021	UC_delange2017	-0.188576	-0.60036	0.19203	0.035561	0	0.36043	0.314205
888	5	132554691	134556570	2791	298	CD_delange2017	LBD_chia2021	0.227752	-0.14346	0.63652	0.0518712	0	0.40515	0.216648
888	5	132554691	134556570	2791	298	CD_delange2017	MS_imsgc2019	0.22116	-0.15182	0.60412	0.0489118	0	0.36644	0.219488
888	5	132554691	134556570	2791	298	CD_delange2017	PD_nalls2019	-0.209894	-0.47341	0.02983	0.0440556	0	0.22412	0.0846869
888	5	132554691	134556570	2791	298	CD_delange2017	SCZ_pardinas2018	0.110113	-0.26533	0.49237	0.0121248	0	0.24925	0.539788
888	5	132554691	134556570	2791	298	CD_delange2017	UC_delange2017	0.036744	-0.40523	0.3848	0.00135012	0	0.20637	0.846743
888	5	132554691	134556570	2791	298	LBD_chia2021	MS_imsgc2019	0.130612	-0.1929	0.4683	0.0170594	0	0.22035	0.425001
888	5	132554691	134556570	2791	298	LBD_chia2021	PD_nalls2019	-0.140711	-0.3633	0.07493	0.0197997	0	0.13199	0.192425
888	5	132554691	134556570	2791	298	LBD_chia2021	SCZ_pardinas2018	-0.286051	-0.63549	0.02978	0.0818254	0	0.40385	0.0786102
888	5	132554691	134556570	2791	298	LBD_chia2021	UC_delange2017	0.150384	-0.18485	0.51235	0.0226153	0	0.26257	0.37372
888	5	132554691	134556570	2791	298	MS_imsgc2019	PD_nalls2019	0.0898655	-0.12848	0.30521	0.00807581	0	0.0932	0.39785
888	5	132554691	134556570	2791	298	MS_imsgc2019	SCZ_pardinas2018	-0.133776	-0.47484	0.1808	0.0178961	0	0.22571	0.398845
888	5	132554691	134556570	2791	298	MS_imsgc2019	UC_delange2017	-0.176788	-0.54819	0.15049	0.031254	0	0.30051	0.284269
888	5	132554691	134556570	2791	298	PD_nalls2019	SCZ_pardinas2018	-0.141241	-0.36198	0.06485	0.0199491	0	0.13103	0.178725
888	5	132554691	134556570	2791	298	PD_nalls2019	UC_delange2017	-0.128709	-0.35475	0.08867	0.016566	0	0.12585	0.242456
888	5	132554691	134556570	2791	298	SCZ_pardinas2018	UC_delange2017	0.0387634	-0.29818	0.37598	0.0015026	0	0.16012	0.81265
891	5	136949854	139408116	2030	177	AD_schwartzentruber2021	PD_nalls2019	0.11497	-0.16222	0.39246	0.0132182	0	0.15438	0.400825
891	5	136949854	139408116	2030	177	AD_schwartzentruber2021	SCZ_pardinas2018	0.369576	0.06507	0.70439	0.136587	0.00535	0.49617	0.0203237
891	5	136949854	139408116	2030	177	PD_nalls2019	SCZ_pardinas2018	0.105936	-0.13293	0.3409	0.0112225	0	0.11621	0.367194
893	5	141253831	142532956	1985	227	AD_schwartzentruber2021	ALS_vanrheenen2021	-0.0135616	-0.46694	0.43575	0.000183918	0	0.27527	0.948416
893	5	141253831	142532956	1985	227	AD_schwartzentruber2021	CD_delange2017	-0.475052	-0.84761	-0.16545	0.225675	0.02738	0.71844	0.00334955
893	5	141253831	142532956	1985	227	AD_schwartzentruber2021	LBD_chia2021	-0.267935	-0.78502	0.16175	0.0717891	0	0.61625	0.210661
893	5	141253831	142532956	1985	227	AD_schwartzentruber2021	PD_nalls2019	0.240049	0.01778	0.48774	0.0576234	0.00104	0.23789	0.0379733
893	5	141253831	142532956	1985	227	AD_schwartzentruber2021	UC_delange2017	-0.149235	-0.59653	0.25994	0.022271	0	0.35844	0.454101
893	5	141253831	142532956	1985	227	ALS_vanrheenen2021	CD_delange2017	0.105441	-0.23964	0.45297	0.0111178	0	0.21015	0.529066
893	5	141253831	142532956	1985	227	ALS_vanrheenen2021	LBD_chia2021	-0.398222	-0.96083	0.03531	0.15858	0	0.9232	0.0732997
893	5	141253831	142532956	1985	227	ALS_vanrheenen2021	PD_nalls2019	-0.2391	-0.51085	-0.00575	0.0571686	0.00069	0.26097	0.0483216
893	5	141253831	142532956	1985	227	ALS_vanrheenen2021	UC_delange2017	0.0219141	-0.43655	0.47164	0.000480226	0	0.28349	0.915826
893	5	141253831	142532956	1985	227	CD_delange2017	LBD_chia2021	0.0699624	-0.28219	0.43484	0.00489473	0	0.20246	0.68248
893	5	141253831	142532956	1985	227	CD_delange2017	PD_nalls2019	-0.0979121	-0.26776	0.06914	0.00958677	0	0.07169	0.253937
893	5	141253831	142532956	1985	227	CD_delange2017	UC_delange2017	0.534013	0.24795	0.81018	0.28517	0.06148	0.6564	0.00106589
893	5	141253831	142532956	1985	227	LBD_chia2021	PD_nalls2019	-0.134757	-0.40353	0.11167	0.0181595	0	0.16325	0.274085
893	5	141253831	142532956	1985	227	LBD_chia2021	UC_delange2017	-0.277295	-0.79086	0.14974	0.0768926	0	0.62546	0.189857
893	5	141253831	142532956	1985	227	PD_nalls2019	UC_delange2017	-0.0709281	-0.30951	0.15779	0.0050308	0	0.09728	0.531061
898	5	148662215	149850203	1901	250	ALS_vanrheenen2021	CD_delange2017	-0.0890021	-0.46078	0.26577	0.00792138	0	0.21953	0.613111
898	5	148662215	149850203	1901	250	ALS_vanrheenen2021	FTD_ferrari2014	0.0774792	-0.30854	0.46744	0.00600303	0	0.23348	0.674899
898	5	148662215	149850203	1901	250	ALS_vanrheenen2021	PD_nalls2019	0.190216	-0.03896	0.43257	0.0361821	0	0.18712	0.10111
898	5	148662215	149850203	1901	250	ALS_vanrheenen2021	SCZ_pardinas2018	-0.0390617	-0.41473	0.33241	0.00152582	0	0.19908	0.830579
898	5	148662215	149850203	1901	250	ALS_vanrheenen2021	UC_delange2017	-0.0418317	-0.40827	0.3132	0.00174989	0	0.18518	0.806531
898	5	148662215	149850203	1901	250	CD_delange2017	FTD_ferrari2014	-0.028508	-0.3881	0.31614	0.000812704	0	0.16985	0.866699
898	5	148662215	149850203	1901	250	CD_delange2017	PD_nalls2019	0.0512355	-0.15825	0.25763	0.00262508	0	0.06799	0.624689
898	5	148662215	149850203	1901	250	CD_delange2017	SCZ_pardinas2018	-0.481262	-0.8625	-0.15614	0.231614	0.02439	0.74391	0.00448739
898	5	148662215	149850203	1901	250	CD_delange2017	UC_delange2017	0.489726	0.20551	0.75699	0.239832	0.04228	0.57303	0.00229008
898	5	148662215	149850203	1901	250	FTD_ferrari2014	PD_nalls2019	0.0156999	-0.20984	0.24426	0.000246486	0	0.06804	0.887458
898	5	148662215	149850203	1901	250	FTD_ferrari2014	SCZ_pardinas2018	0.282615	-0.07087	0.66832	0.0798712	0	0.44665	0.11143
898	5	148662215	149850203	1901	250	FTD_ferrari2014	UC_delange2017	-0.0734996	-0.42202	0.25595	0.00540219	0	0.18576	0.655657
898	5	148662215	149850203	1901	250	PD_nalls2019	SCZ_pardinas2018	-0.0850811	-0.30998	0.12934	0.00723879	0	0.09664	0.438917
898	5	148662215	149850203	1901	250	PD_nalls2019	UC_delange2017	-0.0574775	-0.25749	0.14196	0.00330367	0	0.0669	0.570687
898	5	148662215	149850203	1901	250	SCZ_pardinas2018	UC_delange2017	-0.269836	-0.63082	0.04646	0.0728117	0	0.39794	0.0999426
899	5	149850204	150981934	2060	192	ALS_vanrheenen2021	CD_delange2017	-0.166078	-0.46463	0.13124	0.0275819	0	0.21588	0.259428
899	5	149850204	150981934	2060	192	ALS_vanrheenen2021	PD_nalls2019	0.168952	-0.06184	0.39978	0.0285447	0	0.15983	0.139715
899	5	149850204	150981934	2060	192	ALS_vanrheenen2021	UC_delange2017	-0.0339294	-0.38408	0.31366	0.0011512	0	0.16327	0.83865
899	5	149850204	150981934	2060	192	CD_delange2017	PD_nalls2019	0.10097	-0.10326	0.30377	0.010195	0	0.09234	0.325114
899	5	149850204	150981934	2060	192	CD_delange2017	UC_delange2017	0.504226	0.23632	0.75822	0.254244	0.05615	0.5749	0.00127909
899	5	149850204	150981934	2060	192	PD_nalls2019	UC_delange2017	-0.163988	-0.41295	0.07169	0.0268921	0	0.17053	0.168703
901	5	151892618	152878627	1496	107	PD_nalls2019	SCZ_pardinas2018	-0.18293	-0.47739	0.11512	0.0334635	0	0.2279	0.212443
908	5	158484776	159663733	1995	195	CD_delange2017	MS_imsgc2019	-0.103593	-0.33077	0.11022	0.0107316	0	0.10943	0.351864
908	5	158484776	159663733	1995	195	CD_delange2017	PD_nalls2019	0.185828	0.0425	0.32978	0.034532	0.00189	0.10875	0.0127354
908	5	158484776	159663733	1995	195	CD_delange2017	SCZ_pardinas2018	0.167132	-0.07024	0.4184	0.0279331	0	0.17506	0.167751
908	5	158484776	159663733	1995	195	CD_delange2017	UC_delange2017	0.840612	0.73011	0.95002	0.706628	0.53306	0.90254	1.24245e-20
908	5	158484776	159663733	1995	195	MS_imsgc2019	PD_nalls2019	0.0258632	-0.19343	0.247	0.000668907	0	0.06709	0.815842
908	5	158484776	159663733	1995	195	MS_imsgc2019	SCZ_pardinas2018	0.242194	-0.08382	0.57541	0.058658	0	0.33109	0.145435
908	5	158484776	159663733	1995	195	MS_imsgc2019	UC_delange2017	-0.108771	-0.36136	0.14193	0.0118312	0	0.13076	0.385107
908	5	158484776	159663733	1995	195	PD_nalls2019	SCZ_pardinas2018	0.157196	-0.08546	0.40766	0.0247106	0	0.16619	0.195327
908	5	158484776	159663733	1995	195	PD_nalls2019	UC_delange2017	0.10334	-0.06752	0.272	0.0106791	0	0.07398	0.230963
908	5	158484776	159663733	1995	195	SCZ_pardinas2018	UC_delange2017	0.0605362	-0.21224	0.34066	0.00366464	0	0.12048	0.655251
919	5	172285683	173606995	2463	261	ALS_vanrheenen2021	CD_delange2017	0.220636	-0.07151	0.51966	0.0486804	0	0.27005	0.141388
919	5	172285683	173606995	2463	261	ALS_vanrheenen2021	PD_nalls2019	-0.221438	-0.427	-0.03211	0.0490347	0.00134	0.18233	0.0238866
919	5	172285683	173606995	2463	261	ALS_vanrheenen2021	SCZ_pardinas2018	0.262979	-0.04128	0.59915	0.0691578	0	0.35898	0.101587
919	5	172285683	173606995	2463	261	CD_delange2017	PD_nalls2019	-0.272701	-0.46238	-0.09217	0.0743658	0.0085	0.2138	0.00315134
919	5	172285683	173606995	2463	261	CD_delange2017	SCZ_pardinas2018	-0.083106	-0.40491	0.22338	0.00690661	0	0.16618	0.588265
919	5	172285683	173606995	2463	261	PD_nalls2019	SCZ_pardinas2018	0.202551	0.00181	0.41105	0.0410271	0.00058	0.16896	0.0440393
922	5	176180302	177659902	831	133	LBD_chia2021	PD_nalls2019	0.235232	-0.02719	0.53107	0.0553341	0	0.28203	0.0803722
944	6	20418021	21295864	1727	166	CD_delange2017	PD_nalls2019	-0.0858687	-0.304	0.1287	0.00737344	0	0.09271	0.422437
945	6	21295865	22199713	1295	184	CD_delange2017	PD_nalls2019	-0.222399	-0.45677	-0.00242	0.0494612	0.00058	0.20864	0.0489581
949	6	24950380	25684629	1707	158	PD_nalls2019	SCZ_pardinas2018	0.210474	-0.08592	0.51673	0.0442993	0	0.26701	0.163012
950	6	25684630	26396200	1346	93	CD_delange2017	MS_imsgc2019	-0.0939924	-0.46133	0.26576	0.00883457	0	0.21717	0.587815
950	6	25684630	26396200	1346	93	CD_delange2017	SCZ_pardinas2018	0.345445	0.05291	0.6631	0.119332	0.00378	0.43971	0.0260421
