gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
ENSG00000272463	RP11_532F6_3	6	608592	811405	455	65	PD_nalls2019	CD4NC_onek1k_ENSG00000272463	-0.229779	-0.43236	-0.02511	0.0527983	0.00112	0.18693	0.0269173
ENSG00000272279	RP11_157J24_2	6	1428599	1629146	98	23	PD_nalls2019	CD4NC_onek1k_ENSG00000272279	-0.0340216	-0.34008	0.27003	0.00115747	0	0.12512	0.820591
ENSG00000170542	SERPINB9	6	2787500	3003514	78	22	PD_nalls2019	CD4ET_onek1k_ENSG00000170542	0.0651793	-0.21685	0.35862	0.00424834	0	0.13118	0.65279
ENSG00000170542	SERPINB9	6	2787500	3003514	148	28	PD_nalls2019	CD4NC_onek1k_ENSG00000170542	0.109593	-0.09723	0.30873	0.0120105	0	0.09531	0.301752
ENSG00000170542	SERPINB9	6	2787500	3003514	75	12	PD_nalls2019	CD8NC_onek1k_ENSG00000170542	0.0190921	-0.41859	0.45082	0.000364509	0	0.2475	0.926937
ENSG00000124570	SERPINB6	6	2848393	3072090	45	17	PD_nalls2019	CD8ET_onek1k_ENSG00000124570	0.0307646	-0.20598	0.26709	0.000946462	0	0.07781	0.797107
ENSG00000124570	SERPINB6	6	2848393	3072090	68	24	PD_nalls2019	CD8NC_onek1k_ENSG00000124570	0.0735849	-0.15838	0.30249	0.00541474	0	0.09263	0.524877
ENSG00000124588	NQO2	6	2888221	3119996	58	15	PD_nalls2019	BIN_onek1k_ENSG00000124588	-0.332966	-0.70573	0.04489	0.110866	0	0.49805	0.0801934
ENSG00000124588	NQO2	6	2888221	3119996	127	20	PD_nalls2019	BMem_onek1k_ENSG00000124588	-0.259164	-0.51826	0.01089	0.067166	0	0.26859	0.0602608
ENSG00000124588	NQO2	6	2888221	3119996	120	31	PD_nalls2019	CD4ET_onek1k_ENSG00000124588	-0.0802465	-0.30297	0.14658	0.0064395	0	0.09245	0.484065
ENSG00000124588	NQO2	6	2888221	3119996	166	37	PD_nalls2019	CD8ET_onek1k_ENSG00000124588	-0.0814985	-0.24582	0.08234	0.006642	0	0.06043	0.334765
ENSG00000124588	NQO2	6	2888221	3119996	184	32	PD_nalls2019	CD8NC_onek1k_ENSG00000124588	-0.192626	-0.39093	0.01052	0.0371047	0	0.15282	0.0640014
ENSG00000124588	NQO2	6	2888221	3119996	206	37	PD_nalls2019	MonoC_onek1k_ENSG00000124588	-0.0655315	-0.25984	0.128	0.00429438	0	0.06786	0.503667
ENSG00000272277	RP1_40E16_12	6	2968279	3169128	67	18	PD_nalls2019	CD4NC_onek1k_ENSG00000272277	-0.244586	-0.53959	0.05981	0.0598224	0	0.29116	0.108785
ENSG00000214113	LYRM4	6	5002827	5361172	56	14	PD_nalls2019	CD8ET_onek1k_ENSG00000214113	-0.0377444	-0.28073	0.1999	0.00142464	0	0.084	0.757258
ENSG00000124491	F13A1	6	6044318	6421246	32	14	PD_nalls2019	MonoC_onek1k_ENSG00000124491	0.105153	-0.17828	0.39927	0.0110572	0	0.16105	0.465062
ENSG00000112799	LY86	6	6488341	6755216	176	37	PD_nalls2019	BIN_onek1k_ENSG00000112799	-0.0926364	-0.37131	0.18609	0.0085815	0	0.13924	0.507666
ENSG00000112799	LY86	6	6488341	6755216	161	32	PD_nalls2019	BMem_onek1k_ENSG00000112799	-0.165369	-0.50948	0.17116	0.0273468	0	0.25988	0.317026
ENSG00000096696	DSP	6	7441808	7686950	96	17	PD_nalls2019	BIN_onek1k_ENSG00000096696	0.319162	0.16287	0.47908	0.101864	0.02653	0.22952	0.000228458
ENSG00000111846	GCNT2	6	10392456	10729601	15	7	PD_nalls2019	BIN_onek1k_ENSG00000111846	-0.170806	-0.60587	0.27867	0.0291748	0	0.36728	0.431224
ENSG00000172197	MBOAT1	6	20000935	20312670	604	112	PD_nalls2019	CD4NC_onek1k_ENSG00000172197	0.332989	0.12159	0.5606	0.110882	0.01479	0.31427	0.00273231
ENSG00000272053	RP11_367G6_3	6	24915180	25142398	83	9	PD_nalls2019	CD8ET_onek1k_ENSG00000272053	0.112453	-0.36648	0.59353	0.0126456	0	0.36089	0.626244
ENSG00000272053	RP11_367G6_3	6	24915180	25142398	83	9	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000272053	-0.219337	-0.6748	0.25054	0.0481085	0	0.45998	0.342424
ENSG00000079691	LRRC16A	6	25179306	25720758	121	20	PD_nalls2019	BIN_onek1k_ENSG00000079691	-0.085756	-0.38501	0.21522	0.00735409	0	0.14963	0.566727
ENSG00000079691	LRRC16A	6	25179306	25720758	187	22	SCZ_pardinas2018	BMem_onek1k_ENSG00000079691	-0.134116	-0.45134	0.17903	0.0179871	0	0.20406	0.395341
ENSG00000079691	LRRC16A	6	25179306	25720758	117	19	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000079691	-0.269574	-0.63461	0.11945	0.0726701	0	0.40272	0.153619
ENSG00000124575	HIST1H1D	6	26134440	26335216	66	5	MS_imsgc2019	CD8ET_onek1k_ENSG00000124575	-0.767396	-1	-0.37907	0.588897	0.14369	1	0.00308721
ENSG00000186470	BTN3A2	6	26265387	26478546	90	6	SCZ_pardinas2018	BIN_onek1k_ENSG00000186470	0.391234	0.02378	0.73112	0.153064	0.00295	0.53454	0.0437654
ENSG00000186470	BTN3A2	6	26265387	26478546	108	6	SCZ_pardinas2018	BMem_onek1k_ENSG00000186470	0.8745	0.72096	1	0.764749	0.51978	1	2.94372e-09
ENSG00000186470	BTN3A2	6	26265387	26478546	62	12	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000186470	0.884632	0.76723	0.98692	0.782575	0.58864	0.97401	1.034e-14
ENSG00000026950	BTN3A1	6	26302465	26515444	39	5	CD_delange2017	CD8ET_onek1k_ENSG00000026950	0.52056	0.02497	0.96624	0.270982	0.00547	0.93361	0.0461136
ENSG00000026950	BTN3A1	6	26302465	26515444	112	10	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000026950	0.0742051	-0.3339	0.4703	0.00550639	0	0.23097	0.708078
ENSG00000204644	ZFP57	6	29540169	29748887	316	21	SCZ_pardinas2018	CD4ET_onek1k_ENSG00000204644	-0.34619	-0.68895	-0.01036	0.119848	0.00195	0.47465	0.0472477
ENSG00000204644	ZFP57	6	29540169	29748887	240	18	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000204644	-0.393022	-0.59144	-0.17947	0.154466	0.03221	0.3498	0.000508645
ENSG00000204644	ZFP57	6	29540169	29748887	20	8	UC_delange2017	CD8ET_onek1k_ENSG00000204644	-0.0847439	-0.44068	0.26296	0.00718153	0	0.19937	0.632682
ENSG00000204644	ZFP57	6	29540169	29748887	22	8	MS_imsgc2019	CD8ET_onek1k_ENSG00000204644	0.0792849	-0.13758	0.29024	0.00628609	0	0.08474	0.470319
ENSG00000204644	ZFP57	6	29540169	29748887	127	15	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000204644	-0.792312	-1	-0.572	0.627759	0.32719	1	1.92278e-06
ENSG00000204642	HLA_F	6	29590552	29806305	28	3	MS_imsgc2019	BIN_onek1k_ENSG00000204642	0.298502	-0.06959	0.64186	0.0891036	0	0.41198	0.100938
ENSG00000204642	HLA_F	6	29590552	29806305	28	3	MS_imsgc2019	BMem_onek1k_ENSG00000204642	0.335069	0.0037	0.6551	0.112271	0.00165	0.42916	0.0476454
ENSG00000204642	HLA_F	6	29590552	29806305	100	10	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000204642	0.395159	0.06868	0.70168	0.15615	0.00596	0.49235	0.0224921
ENSG00000204642	HLA_F	6	29590552	29806305	27	3	MS_imsgc2019	CD8ET_onek1k_ENSG00000204642	0.374326	0.10873	0.62027	0.14012	0.01183	0.38474	0.0075219
ENSG00000204642	HLA_F	6	29590552	29806305	195	11	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000204642	0.342889	-0.02052	0.68942	0.117573	0	0.4753	0.0696561
ENSG00000204642	HLA_F	6	29590552	29806305	34	4	MS_imsgc2019	CD8NC_onek1k_ENSG00000204642	0.307841	0.01019	0.59268	0.094766	0.00139	0.35127	0.0417065
ENSG00000204632	HLA_G	6	29694744	29898902	84	11	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000204632	0.0312603	-0.20309	0.26762	0.000977208	0	0.07891	0.792395
ENSG00000204632	HLA_G	6	29694744	29898902	5	3	MS_imsgc2019	CD8ET_onek1k_ENSG00000204632	-0.925312	-1	-0.77787	0.856202	0.60508	1	3.56822e-08
ENSG00000204632	HLA_G	6	29694744	29898902	27	5	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000204632	0.0167855	-0.39423	0.42594	0.000281754	0	0.21648	0.933462
ENSG00000204632	HLA_G	6	29694744	29898902	12	2	UC_delange2017	CD8NC_onek1k_ENSG00000204632	0.337202	-0.1161	0.76116	0.113705	0	0.57937	0.144043
ENSG00000204632	HLA_G	6	29694744	29898902	12	2	MS_imsgc2019	CD8NC_onek1k_ENSG00000204632	-0.76933	-0.96159	-0.5428	0.591869	0.29463	0.92466	2.98516e-06
ENSG00000206503	HLA_A	6	29809037	30013661	4	3	CD_delange2017	BIN_onek1k_ENSG00000206503	-0.675046	-0.99458	-0.30352	0.455688	0.09213	0.98918	0.00292009
ENSG00000206503	HLA_A	6	29809037	30013661	6	3	MS_imsgc2019	BIN_onek1k_ENSG00000206503	-0.840274	-0.96428	-0.69441	0.706061	0.4822	0.92983	2.00604e-10
ENSG00000206503	HLA_A	6	29809037	30013661	2	2	UC_delange2017	CD4ET_onek1k_ENSG00000206503	0.634001	0.1513	1	0.401957	0.02676	1	0.0220579
ENSG00000206503	HLA_A	6	29809037	30013661	3	2	MS_imsgc2019	CD4ET_onek1k_ENSG00000206503	-0.742704	-0.94822	-0.50461	0.551609	0.25463	0.89913	9.14101e-06
ENSG00000206503	HLA_A	6	29809037	30013661	89	6	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000206503	0.185901	-0.11829	0.4809	0.034559	0	0.2313	0.222657
ENSG00000206503	HLA_A	6	29809037	30013661	3	3	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000206503	-0.0654936	-0.55104	0.42755	0.00428941	0	0.33158	0.783239
ENSG00000206503	HLA_A	6	29809037	30013661	7	5	CD_delange2017	MonoC_onek1k_ENSG00000206503	-0.474151	-0.89106	-0.03197	0.224819	0.00481	0.79398	0.0454119
ENSG00000206503	HLA_A	6	29809037	30013661	185	9	SCZ_pardinas2018	MonoC_onek1k_ENSG00000206503	0.120363	-0.24504	0.4845	0.0144873	0	0.23624	0.506369
ENSG00000206503	HLA_A	6	29809037	30013661	7	5	UC_delange2017	MonoC_onek1k_ENSG00000206503	0.819003	0.49494	1	0.670766	0.24496	1	0.000947226
ENSG00000206503	HLA_A	6	29809037	30013661	9	5	MS_imsgc2019	MonoC_onek1k_ENSG00000206503	-1	-1	-0.92142	1	0.84901	1	4.93593e-10
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	9	5	CD_delange2017	BIN_onek1k_ENSG00000272501	-0.269143	-0.53478	-0.00422	0.0724377	0.00096	0.28599	0.0507159
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	163	27	SCZ_pardinas2018	BIN_onek1k_ENSG00000272501	0.0351388	-0.18058	0.25038	0.00123473	0	0.06645	0.743435
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	9	5	UC_delange2017	BIN_onek1k_ENSG00000272501	-0.893289	-1	-0.73323	0.797966	0.53762	1	1.58022e-08
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	11	6	MS_imsgc2019	BIN_onek1k_ENSG00000272501	-0.56259	-0.70233	-0.41629	0.316507	0.17329	0.49327	2.95053e-10
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	7	4	CD_delange2017	BMem_onek1k_ENSG00000272501	-0.296208	-0.71594	0.13966	0.0877392	0	0.51257	0.177812
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	7	4	UC_delange2017	BMem_onek1k_ENSG00000272501	-0.523518	-0.86519	-0.14286	0.274071	0.02115	0.74855	0.0135131
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	7	4	MS_imsgc2019	BMem_onek1k_ENSG00000272501	0.00638155	-0.27395	0.28939	4.07242e-05	0	0.10414	0.96429
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	38	8	CD_delange2017	CD4ET_onek1k_ENSG00000272501	-0.523922	-0.78988	-0.24493	0.274494	0.05999	0.62392	0.00095768
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	323	30	SCZ_pardinas2018	CD4ET_onek1k_ENSG00000272501	-0.0115633	-0.18336	0.15554	0.00013371	0	0.03769	0.894086
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	38	8	UC_delange2017	CD4ET_onek1k_ENSG00000272501	-0.42202	-0.60343	-0.22659	0.178101	0.05134	0.36412	7.56471e-05
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	336	31	ALS_vanrheenen2021	CD4ET_onek1k_ENSG00000272501	-0.0107926	-0.29606	0.2727	0.000116481	0	0.10524	0.939212
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	40	8	MS_imsgc2019	CD4ET_onek1k_ENSG00000272501	-0.225336	-0.38674	-0.06073	0.0507764	0.00375	0.14957	0.00885984
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	215	30	SCZ_pardinas2018	CD4NC_onek1k_ENSG00000272501	-0.123115	-0.28977	0.0447	0.0151574	0	0.08397	0.14569
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	36	6	UC_delange2017	CD4NC_onek1k_ENSG00000272501	-0.00748192	-0.3412	0.32945	5.59791e-05	0	0.14731	0.964
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	232	30	ALS_vanrheenen2021	CD4NC_onek1k_ENSG00000272501	0.0220772	-0.2906	0.32449	0.000487403	0	0.12773	0.882854
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	36	6	MS_imsgc2019	CD4NC_onek1k_ENSG00000272501	0.57698	0.33824	0.80081	0.332905	0.11441	0.6413	0.000112583
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	45	7	CD_delange2017	CD8ET_onek1k_ENSG00000272501	-0.521609	-0.79527	-0.23082	0.272075	0.05328	0.63245	0.00109444
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	421	33	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000272501	-0.0538737	-0.20796	0.10095	0.00290238	0	0.0435	0.484371
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	45	7	UC_delange2017	CD8ET_onek1k_ENSG00000272501	-0.617344	-0.83533	-0.38027	0.381113	0.1446	0.69778	2.45361e-05
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	438	34	ALS_vanrheenen2021	CD8ET_onek1k_ENSG00000272501	-0.000247056	-0.28146	0.2811	6.10367e-08	0	0.10615	0.998576
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	48	9	MS_imsgc2019	CD8ET_onek1k_ENSG00000272501	-0.248372	-0.39146	-0.10292	0.0616887	0.01059	0.15324	0.00131557
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	32	5	CD_delange2017	CD8NC_onek1k_ENSG00000272501	-0.577086	-0.86552	-0.26595	0.333029	0.07073	0.74913	0.00178581
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	230	26	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000272501	-0.0891306	-0.31861	0.14607	0.00794426	0	0.10184	0.436886
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	32	5	UC_delange2017	CD8NC_onek1k_ENSG00000272501	-0.272895	-0.48676	-0.06086	0.0744717	0.00398	0.23693	0.01438
ENSG00000272501	XXbac_BPG299F13_17	6	31062977	31265814	33	5	MS_imsgc2019	CD8NC_onek1k_ENSG00000272501	0.0682611	-0.13836	0.27165	0.00465957	0	0.07466	0.512721
ENSG00000204525	HLA_C	6	31136526	31339907	117	19	SCZ_pardinas2018	BIN_onek1k_ENSG00000204525	0.56487	0.35433	0.76524	0.319078	0.12555	0.5856	5.07869e-06
ENSG00000204525	HLA_C	6	31136526	31339907	5	3	UC_delange2017	BIN_onek1k_ENSG00000204525	-0.772899	-1	-0.45431	0.597373	0.2064	1	0.000811989
ENSG00000204525	HLA_C	6	31136526	31339907	7	5	MS_imsgc2019	BIN_onek1k_ENSG00000204525	-0.775622	-0.89652	-0.6368	0.60159	0.40552	0.80375	1.43581e-13
ENSG00000204525	HLA_C	6	31136526	31339907	3	3	CD_delange2017	BMem_onek1k_ENSG00000204525	0.496424	0.21454	0.75306	0.246437	0.04603	0.56711	0.0015669
ENSG00000204525	HLA_C	6	31136526	31339907	110	20	SCZ_pardinas2018	BMem_onek1k_ENSG00000204525	0.313351	0.07238	0.55526	0.0981888	0.00548	0.30832	0.0134189
ENSG00000204525	HLA_C	6	31136526	31339907	3	3	MS_imsgc2019	BMem_onek1k_ENSG00000204525	-0.846116	-0.97411	-0.69544	0.715912	0.48363	0.94889	2.61372e-10
ENSG00000204525	HLA_C	6	31136526	31339907	7	3	CD_delange2017	CD4ET_onek1k_ENSG00000204525	-0.678417	-1	-0.30361	0.460249	0.09218	1	0.00263025
ENSG00000204525	HLA_C	6	31136526	31339907	89	17	SCZ_pardinas2018	CD4ET_onek1k_ENSG00000204525	0.0749115	-0.14152	0.28738	0.00561174	0	0.08293	0.492326
ENSG00000204525	HLA_C	6	31136526	31339907	10	4	MS_imsgc2019	CD4ET_onek1k_ENSG00000204525	-0.353727	-0.54356	-0.1537	0.125123	0.02362	0.29546	0.000663293
ENSG00000204525	HLA_C	6	31136526	31339907	10	4	CD_delange2017	CD4NC_onek1k_ENSG00000204525	-0.965636	-1	-0.77803	0.932452	0.60533	1	4.53048e-05
ENSG00000204525	HLA_C	6	31136526	31339907	10	4	UC_delange2017	CD4NC_onek1k_ENSG00000204525	-0.276591	-0.60503	0.06001	0.0765025	0	0.36607	0.117258
ENSG00000204525	HLA_C	6	31136526	31339907	13	5	MS_imsgc2019	CD4NC_onek1k_ENSG00000204525	-0.560126	-0.717	-0.38674	0.313742	0.14957	0.51408	5.09391e-08
ENSG00000204525	HLA_C	6	31136526	31339907	15	6	CD_delange2017	CD8ET_onek1k_ENSG00000204525	0.0682523	-0.29106	0.42362	0.00465838	0	0.18628	0.69963
ENSG00000204525	HLA_C	6	31136526	31339907	73	24	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000204525	0.140617	-0.04209	0.31723	0.0197731	0	0.10064	0.137249
ENSG00000204525	HLA_C	6	31136526	31339907	15	6	UC_delange2017	CD8ET_onek1k_ENSG00000204525	0.176431	-0.15208	0.49375	0.0311279	0	0.24379	0.281993
ENSG00000204525	HLA_C	6	31136526	31339907	19	8	MS_imsgc2019	CD8ET_onek1k_ENSG00000204525	0.0532581	-0.12236	0.22617	0.00283642	0	0.05187	0.552282
ENSG00000204525	HLA_C	6	31136526	31339907	44	12	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000204525	-0.051362	-0.29507	0.19971	0.00263806	0	0.09092	0.675867
ENSG00000204525	HLA_C	6	31136526	31339907	12	5	UC_delange2017	CD8NC_onek1k_ENSG00000204525	0.128729	-0.24094	0.48991	0.0165712	0	0.24117	0.4841
ENSG00000204525	HLA_C	6	31136526	31339907	13	5	MS_imsgc2019	CD8NC_onek1k_ENSG00000204525	-0.0747098	-0.29931	0.15554	0.00558155	0	0.08988	0.513405
ENSG00000204525	HLA_C	6	31136526	31339907	90	18	SCZ_pardinas2018	MonoC_onek1k_ENSG00000204525	0.177761	-0.07874	0.42537	0.0315989	0	0.18094	0.166002
ENSG00000204525	HLA_C	6	31136526	31339907	2	2	MS_imsgc2019	MonoC_onek1k_ENSG00000204525	-1	-1	-0.92585	1	0.8572	1	9.77617e-06
ENSG00000234745	HLA_B	6	31221649	31424965	204	32	AD_schwartzentruber2021	BIN_onek1k_ENSG00000234745	0.589849	0.32323	0.90174	0.347922	0.10448	0.81314	0.000168517
ENSG00000234745	HLA_B	6	31221649	31424965	14	10	CD_delange2017	BIN_onek1k_ENSG00000234745	0.289153	0.08213	0.49095	0.0836092	0.00694	0.24103	0.00835321
ENSG00000234745	HLA_B	6	31221649	31424965	18	12	PD_nalls2019	BIN_onek1k_ENSG00000234745	0.53853	0.24846	0.82455	0.290014	0.06173	0.67988	0.000738542
ENSG00000234745	HLA_B	6	31221649	31424965	203	32	SCZ_pardinas2018	BIN_onek1k_ENSG00000234745	0.115989	-0.06695	0.29667	0.0134535	0	0.08801	0.207403
ENSG00000234745	HLA_B	6	31221649	31424965	14	10	UC_delange2017	BIN_onek1k_ENSG00000234745	-0.22788	-0.52579	0.08005	0.0519291	0	0.27646	0.133112
ENSG00000234745	HLA_B	6	31221649	31424965	18	12	MS_imsgc2019	BIN_onek1k_ENSG00000234745	0.106572	-0.02041	0.22815	0.0113575	0	0.05205	0.0940299
ENSG00000234745	HLA_B	6	31221649	31424965	15	7	CD_delange2017	BMem_onek1k_ENSG00000234745	0.434879	0.09348	0.75815	0.18912	0.00956	0.57478	0.0164209
ENSG00000234745	HLA_B	6	31221649	31424965	211	27	SCZ_pardinas2018	BMem_onek1k_ENSG00000234745	0.0165145	-0.16826	0.20028	0.000272728	0	0.04683	0.860848
ENSG00000234745	HLA_B	6	31221649	31424965	16	7	MS_imsgc2019	BMem_onek1k_ENSG00000234745	0.462933	0.22961	0.6906	0.214307	0.05272	0.47693	0.000419663
ENSG00000234745	HLA_B	6	31221649	31424965	415	40	AD_schwartzentruber2021	CD4ET_onek1k_ENSG00000234745	0.604433	0.37079	0.87884	0.36534	0.13749	0.77237	1.15948e-05
ENSG00000234745	HLA_B	6	31221649	31424965	30	17	CD_delange2017	CD4ET_onek1k_ENSG00000234745	0.329358	0.17777	0.4796	0.108476	0.0316	0.23002	5.21615e-05
ENSG00000234745	HLA_B	6	31221649	31424965	35	18	PD_nalls2019	CD4ET_onek1k_ENSG00000234745	0.400292	0.14887	0.64912	0.160234	0.02216	0.42136	0.00282142
ENSG00000234745	HLA_B	6	31221649	31424965	415	39	SCZ_pardinas2018	CD4ET_onek1k_ENSG00000234745	0.0467375	-0.08499	0.17958	0.00218439	0	0.03226	0.49198
ENSG00000234745	HLA_B	6	31221649	31424965	30	17	UC_delange2017	CD4ET_onek1k_ENSG00000234745	-0.143532	-0.32504	0.04118	0.0206015	0	0.10565	0.124477
ENSG00000234745	HLA_B	6	31221649	31424965	433	40	ALS_vanrheenen2021	CD4ET_onek1k_ENSG00000234745	0.244246	-0.02654	0.52755	0.0596563	0	0.27831	0.0791788
ENSG00000234745	HLA_B	6	31221649	31424965	35	18	MS_imsgc2019	CD4ET_onek1k_ENSG00000234745	0.0154261	-0.07013	0.09922	0.000237964	0	0.01021	0.718285
ENSG00000234745	HLA_B	6	31221649	31424965	531	38	AD_schwartzentruber2021	CD8ET_onek1k_ENSG00000234745	0.560575	0.32515	0.82513	0.314244	0.10572	0.68084	3.10041e-05
ENSG00000234745	HLA_B	6	31221649	31424965	41	18	CD_delange2017	CD8ET_onek1k_ENSG00000234745	0.517227	0.38428	0.64766	0.267524	0.14767	0.41947	3.06671e-11
ENSG00000234745	HLA_B	6	31221649	31424965	51	19	PD_nalls2019	CD8ET_onek1k_ENSG00000234745	0.452865	0.19921	0.69668	0.205087	0.03968	0.48536	0.00088567
ENSG00000234745	HLA_B	6	31221649	31424965	530	37	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000234745	0.0776842	-0.04986	0.2062	0.00603484	0	0.04252	0.233032
ENSG00000234745	HLA_B	6	31221649	31424965	41	18	UC_delange2017	CD8ET_onek1k_ENSG00000234745	-0.269743	-0.42539	-0.11406	0.0727614	0.01301	0.18096	0.000923184
ENSG00000234745	HLA_B	6	31221649	31424965	547	38	ALS_vanrheenen2021	CD8ET_onek1k_ENSG00000234745	0.203966	-0.07157	0.4912	0.041602	0	0.24128	0.145553
ENSG00000234745	HLA_B	6	31221649	31424965	50	19	MS_imsgc2019	CD8ET_onek1k_ENSG00000234745	0.0404497	-0.02997	0.10844	0.00163618	0	0.01176	0.249792
ENSG00000234745	HLA_B	6	31221649	31424965	22	14	CD_delange2017	CD8NC_onek1k_ENSG00000234745	0.290293	0.09675	0.48379	0.0842701	0.00946	0.23405	0.00431209
ENSG00000234745	HLA_B	6	31221649	31424965	26	15	PD_nalls2019	CD8NC_onek1k_ENSG00000234745	0.470336	0.30621	0.62898	0.221216	0.09376	0.39561	4.61845e-07
ENSG00000234745	HLA_B	6	31221649	31424965	349	37	SCZ_pardinas2018	CD8NC_onek1k_ENSG00000234745	0.0573448	-0.0714	0.18578	0.00328843	0	0.03451	0.385917
ENSG00000234745	HLA_B	6	31221649	31424965	22	14	UC_delange2017	CD8NC_onek1k_ENSG00000234745	-0.343849	-0.53226	-0.14777	0.118232	0.02184	0.2833	0.000958756
ENSG00000234745	HLA_B	6	31221649	31424965	26	15	MS_imsgc2019	CD8NC_onek1k_ENSG00000234745	0.0276582	-0.06204	0.11755	0.000764974	0	0.01395	0.547263
ENSG00000234745	HLA_B	6	31221649	31424965	269	31	AD_schwartzentruber2021	MonoC_onek1k_ENSG00000234745	0.759314	0.51536	1	0.576558	0.2656	1	1.02189e-06
ENSG00000234745	HLA_B	6	31221649	31424965	16	11	CD_delange2017	MonoC_onek1k_ENSG00000234745	0.645024	0.45798	0.82216	0.416056	0.20974	0.67594	1.4648e-07
ENSG00000234745	HLA_B	6	31221649	31424965	268	30	SCZ_pardinas2018	MonoC_onek1k_ENSG00000234745	0.135842	-0.03099	0.303	0.0184531	0	0.09181	0.108286
ENSG00000234745	HLA_B	6	31221649	31424965	16	11	UC_delange2017	MonoC_onek1k_ENSG00000234745	-0.568951	-0.83851	-0.28765	0.323705	0.08274	0.70309	0.000416562
ENSG00000234745	HLA_B	6	31221649	31424965	20	12	MS_imsgc2019	MonoC_onek1k_ENSG00000234745	-0.308104	-0.43124	-0.18221	0.0949278	0.0332	0.18597	5.52748e-06
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	8	4	CD_delange2017	CD4NC_onek1k_ENSG00000272221	-0.214034	-0.47958	0.06157	0.0458105	0	0.22999	0.123285
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	75	12	SCZ_pardinas2018	CD4NC_onek1k_ENSG00000272221	0.0846434	-0.25287	0.41062	0.00716451	0	0.17295	0.612913
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	8	4	UC_delange2017	CD4NC_onek1k_ENSG00000272221	0.353429	0.0231	0.66321	0.124912	0.00201	0.43985	0.0413261
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	79	12	ALS_vanrheenen2021	CD4NC_onek1k_ENSG00000272221	0.278269	-0.10534	0.65687	0.0774335	0	0.43148	0.147984
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	9	5	MS_imsgc2019	CD4NC_onek1k_ENSG00000272221	0.291041	0.07501	0.49822	0.0847047	0.00576	0.24822	0.00929888
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	7	3	CD_delange2017	CD8ET_onek1k_ENSG00000272221	0.143886	-0.34107	0.61003	0.0207032	0	0.37552	0.542106
ENSG00000272221	XXbac_BPG181B23_7	6	31262066	31463272	62	8	SCZ_pardinas2018	CD8ET_onek1k_ENSG00000272221	0.439899	0.1055	0.76088	0.193511	0.01197	0.57893	0.0157556
