ld_block	gene_locus	gene_name	chr	start	stop	n_snps	n_pcs	phen	h2.obs	p	qtl_dataset
224	ENSG00000183891	TTC32	2	19996404	20201747	47	5	FTD_ferrari2014	0.00105948	0.0349415	BMem
224	ENSG00000183891	TTC32	2	19996404	20201747	47	5	BMem_onek1k_ENSG00000183891	0.0466741	6.16454e-10	BMem
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	CD4ET_onek1k_ENSG00000183891	0.0659408	4.59137e-14	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	CD_delange2017	0.00022445	0.0161431	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	39	5	LBD_chia2021	0.000121779	0.316265	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	39	5	CD4ET_onek1k_ENSG00000183891	0.0659375	4.59883e-14	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	PD_nalls2019	0	0.414285	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	SCZ_pardinas2018	4.3321e-06	0.363993	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	UC_delange2017	1.4991e-05	0.343716	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	40	5	ALS_vanrheenen2021	1.74882e-05	0.261518	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	38	5	FTD_ferrari2014	0.00106502	0.0338556	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	38	5	CD4ET_onek1k_ENSG00000183891	0.0658996	4.68725e-14	CD4ET
224	ENSG00000183891	TTC32	2	19996404	20201747	87	8	CD8ET_onek1k_ENSG00000183891	0.0876696	1.35742e-17	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	84	8	CD_delange2017	0.000150918	0.0851743	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	84	8	CD8ET_onek1k_ENSG00000183891	0.0876349	1.38132e-17	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	85	8	CD8ET_onek1k_ENSG00000183891	0.0877508	1.30315e-17	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	86	8	SCZ_pardinas2018	1.84215e-05	0.269171	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	86	8	CD8ET_onek1k_ENSG00000183891	0.0876758	1.35325e-17	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	87	8	ALS_vanrheenen2021	2.34723e-05	0.267069	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	82	8	FTD_ferrari2014	0.000576582	0.152705	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	82	8	CD8ET_onek1k_ENSG00000183891	0.0875458	1.44459e-17	CD8ET
224	ENSG00000183891	TTC32	2	19996404	20201747	58	6	CD8NC_onek1k_ENSG00000183891	0.0652434	1.65784e-13	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	57	6	CD_delange2017	0.000192556	0.0343879	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	57	6	CD8NC_onek1k_ENSG00000183891	0.0652418	1.65914e-13	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	57	6	CD8NC_onek1k_ENSG00000183891	0.0652734	1.63337e-13	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	58	6	SCZ_pardinas2018	3.07798e-05	0.160307	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	57	6	UC_delange2017	1.84745e-05	0.339583	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	58	6	ALS_vanrheenen2021	4.83254e-05	0.125812	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	54	6	FTD_ferrari2014	0.000892783	0.0626811	CD8NC
224	ENSG00000183891	TTC32	2	19996404	20201747	54	6	CD8NC_onek1k_ENSG00000183891	0.0650125	1.85822e-13	CD8NC
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	BIN_onek1k_ENSG00000228784	0.0208612	2.99056e-05	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	CD_delange2017	1.93891e-05	0.285838	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	LBD_chia2021	0.000262026	0.19149	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	PD_nalls2019	0.000124712	6.65491e-13	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	SCZ_pardinas2018	9.94963e-06	0.25563	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	UC_delange2017	1.13334e-05	0.319227	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	21	3	MS_imsgc2019	3.07187e-05	0.232024	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	20	3	BIN_onek1k_ENSG00000228784	0.0208518	3.00403e-05	BIN
224	ENSG00000228784	LINC00954	2	19968621	20184808	12	2	CD4ET_onek1k_ENSG00000228784	0.0478314	1.40143e-11	CD4ET
224	ENSG00000228784	LINC00954	2	19968621	20184808	12	2	CD_delange2017	9.68992e-05	0.0520736	CD4ET
224	ENSG00000228784	LINC00954	2	19968621	20184808	12	2	PD_nalls2019	8.55169e-06	0.0480037	CD4ET
224	ENSG00000228784	LINC00954	2	19968621	20184808	12	2	SCZ_pardinas2018	2.89303e-05	0.0797971	CD4ET
224	ENSG00000228784	LINC00954	2	19968621	20184808	31	4	CD8NC_onek1k_ENSG00000228784	0.0740939	2.46969e-16	CD8NC
224	ENSG00000228784	LINC00954	2	19968621	20184808	31	4	CD_delange2017	0.000113788	0.0715864	CD8NC
224	ENSG00000228784	LINC00954	2	19968621	20184808	31	4	PD_nalls2019	1.05168e-05	0.0626061	CD8NC
224	ENSG00000228784	LINC00954	2	19968621	20184808	31	4	SCZ_pardinas2018	5.51354e-05	0.0435696	CD8NC
224	ENSG00000228784	LINC00954	2	19968621	20184808	30	4	CD8NC_onek1k_ENSG00000228784	0.0740945	2.46891e-16	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	56	16	CD4NC_onek1k_ENSG00000115138	0.0925068	3.88792e-16	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	55	15	CD_delange2017	0.000886542	6.41255e-06	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	55	15	CD4NC_onek1k_ENSG00000115138	0.0931226	1.58646e-16	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	55	16	LBD_chia2021	0.00127645	0.0753128	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	55	16	CD4NC_onek1k_ENSG00000115138	0.0925825	3.7524e-16	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	56	16	PD_nalls2019	2.12966e-05	0.0507319	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	56	16	SCZ_pardinas2018	0.000225196	0.000819774	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	55	15	UC_delange2017	0.000410058	0.00325752	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	56	16	MS_imsgc2019	0.000442377	0.00435156	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	51	15	CD4NC_onek1k_ENSG00000115138	0.088016	1.75921e-15	CD4NC
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	CD8ET_onek1k_ENSG00000115138	0.0911622	2.14369e-16	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	CD_delange2017	0.000733161	5.32578e-05	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	56	13	LBD_chia2021	0.000820553	0.130567	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	56	13	CD8ET_onek1k_ENSG00000115138	0.0793804	2.98281e-14	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	PD_nalls2019	5.79785e-06	0.267059	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	SCZ_pardinas2018	0.000269788	0.000102974	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	UC_delange2017	2.92303e-05	0.348804	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	58	14	MS_imsgc2019	0.000190043	0.0768492	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	52	13	CD8ET_onek1k_ENSG00000115138	0.0817062	1.00145e-14	CD8ET
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	CD8NC_onek1k_ENSG00000115138	0.0534014	5.39895e-11	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	CD_delange2017	0.000647405	1.26365e-05	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	16	5	LBD_chia2021	0.000864925	0.0578435	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	16	5	CD8NC_onek1k_ENSG00000115138	0.0484259	2.63593e-10	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	PD_nalls2019	1.22865e-05	0.0640143	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	SCZ_pardinas2018	0.000165148	0.000648089	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	UC_delange2017	0.000134641	0.0571047	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	18	6	MS_imsgc2019	0.000149878	0.0558014	CD8NC
228	ENSG00000115138	POMC	2	25283722	25491772	17	6	CD8NC_onek1k_ENSG00000115138	0.0525102	8.29641e-11	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	96	5	BMem_onek1k_ENSG00000157992	0.0306689	1.22745e-06	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	93	5	CD_delange2017	0.000398383	0.000874443	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	93	5	BMem_onek1k_ENSG00000157992	0.030671	1.22628e-06	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	94	5	LBD_chia2021	0.000348408	0.198917	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	94	5	BMem_onek1k_ENSG00000157992	0.0306645	1.22994e-06	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	95	5	PD_nalls2019	2.3503e-05	0.00581216	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	95	5	BMem_onek1k_ENSG00000157992	0.0306692	1.22727e-06	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	96	5	SCZ_pardinas2018	0.000134259	0.00174198	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	93	5	UC_delange2017	0.000129864	0.0529913	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	95	5	MS_imsgc2019	5.36159e-05	0.199714	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	92	5	BMem_onek1k_ENSG00000157992	0.0306269	1.25157e-06	BMem
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	118	8	CD4ET_onek1k_ENSG00000157992	0.0320115	3.57288e-06	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	113	8	CD_delange2017	0.00096307	1.60276e-07	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	113	8	CD4ET_onek1k_ENSG00000157992	0.0320116	3.57274e-06	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	115	8	LBD_chia2021	0.000354351	0.243463	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	115	8	CD4ET_onek1k_ENSG00000157992	0.0319854	3.61352e-06	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	117	8	PD_nalls2019	2.87839e-05	0.00523838	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	117	8	CD4ET_onek1k_ENSG00000157992	0.0319897	3.6068e-06	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	118	8	SCZ_pardinas2018	0.000145737	0.00281676	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	113	8	UC_delange2017	6.23348e-05	0.211063	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	112	8	CD4ET_onek1k_ENSG00000157992	0.0319452	3.67678e-06	CD4ET
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	150	17	CD4NC_onek1k_ENSG00000157992	0.229134	1.88591e-47	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	143	17	CD_delange2017	0.00107716	8.04622e-07	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	143	17	CD4NC_onek1k_ENSG00000157992	0.229183	1.8313e-47	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	146	16	LBD_chia2021	0.000625603	0.217259	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	146	16	CD4NC_onek1k_ENSG00000157992	0.231073	2.12584e-48	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	149	17	PD_nalls2019	2.2778e-05	0.0437862	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	149	17	CD4NC_onek1k_ENSG00000157992	0.229069	1.95956e-47	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	150	17	SCZ_pardinas2018	0.000228384	0.000849438	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	143	17	UC_delange2017	0.000126748	0.154976	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	149	17	CD4NC_onek1k_ENSG00000157992	0.229172	1.84354e-47	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	148	16	CD4NC_onek1k_ENSG00000157992	0.221306	7.10071e-46	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	142	17	CD4NC_onek1k_ENSG00000157992	0.228298	3.09966e-47	CD4NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	146	15	CD8NC_onek1k_ENSG00000157992	0.130662	1.43021e-24	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	139	15	CD_delange2017	0.00108786	3.70297e-07	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	139	15	CD8NC_onek1k_ENSG00000157992	0.130296	1.72437e-24	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	142	15	LBD_chia2021	0.000500561	0.246488	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	142	15	CD8NC_onek1k_ENSG00000157992	0.131046	1.17513e-24	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	145	15	PD_nalls2019	2.3171e-05	0.0363381	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	145	15	CD8NC_onek1k_ENSG00000157992	0.130643	1.44423e-24	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	146	15	SCZ_pardinas2018	0.000176116	0.00373172	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	139	15	UC_delange2017	0.000167332	0.0905455	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	145	15	CD8NC_onek1k_ENSG00000157992	0.130503	1.55116e-24	CD8NC
230	ENSG00000157992	KRTCAP3	2	27565233	27769348	138	15	CD8NC_onek1k_ENSG00000157992	0.130871	1.28517e-24	CD8NC
231	ENSG00000189350	FAM179A	2	29079477	29384239	43	10	CD8ET_onek1k_ENSG00000189350	0.0361558	1.49911e-06	CD8ET
231	ENSG00000189350	FAM179A	2	29079477	29384239	42	10	LBD_chia2021	0.000100563	0.366276	CD8ET
231	ENSG00000189350	FAM179A	2	29079477	29384239	42	10	CD8ET_onek1k_ENSG00000189350	0.0360686	1.55527e-06	CD8ET
231	ENSG00000189350	FAM179A	2	29079477	29384239	43	10	PD_nalls2019	0.000917065	1.64247e-80	CD8ET
231	ENSG00000189350	FAM179A	2	29079477	29384239	43	10	UC_delange2017	8.94215e-05	0.162166	CD8ET
231	ENSG00000189350	FAM179A	2	29079477	29384239	39	10	CD8ET_onek1k_ENSG00000189350	0.0362389	1.44747e-06	CD8ET
232	ENSG00000213626	LBH	2	30354397	30646596	30	4	CD4NC_onek1k_ENSG00000213626	0.0368889	3.02027e-08	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	27	4	CD_delange2017	8.03522e-06	0.362687	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	27	4	CD4NC_onek1k_ENSG00000213626	0.0372188	2.57442e-08	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	24	4	CD4NC_onek1k_ENSG00000213626	0.0365764	3.51327e-08	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	30	4	PD_nalls2019	1.70623e-05	0.0200341	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	27	4	UC_delange2017	5.49247e-05	0.166236	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	30	4	MS_imsgc2019	0.00037984	0.000611783	CD4NC
232	ENSG00000213626	LBH	2	30354397	30646596	25	4	CD4NC_onek1k_ENSG00000213626	0.037042	2.80457e-08	CD4NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	320	15	CD4ET_onek1k_ENSG00000172954	0.0816349	3.40753e-14	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	314	15	CD4ET_onek1k_ENSG00000172954	0.0815969	3.46764e-14	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	318	15	LBD_chia2021	0.000423763	0.254048	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	318	15	CD4ET_onek1k_ENSG00000172954	0.0816099	3.44696e-14	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	314	15	UC_delange2017	3.26947e-05	0.361866	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	321	15	CD4ET_onek1k_ENSG00000172954	0.0816374	3.40349e-14	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	320	15	MS_imsgc2019	3.01161e-05	0.356916	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	311	15	CD4ET_onek1k_ENSG00000172954	0.0815929	3.47409e-14	CD4ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	112	8	CD8ET_onek1k_ENSG00000172954	0.0514685	5.678e-10	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	110	8	CD8ET_onek1k_ENSG00000172954	0.0514753	5.66015e-10	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	112	8	LBD_chia2021	0.000831118	0.0915894	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	112	8	PD_nalls2019	1.39076e-07	0.42358	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	112	8	SCZ_pardinas2018	3.98341e-05	0.14355	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	110	8	UC_delange2017	0.000147194	0.0639669	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	113	8	CD8ET_onek1k_ENSG00000172954	0.0517999	4.86779e-10	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	112	8	MS_imsgc2019	6.5866e-05	0.209463	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	110	8	CD8ET_onek1k_ENSG00000172954	0.0513433	6.01803e-10	CD8ET
233	ENSG00000172954	LCLAT1	2	30570092	30967091	384	30	CD8NC_onek1k_ENSG00000172954	0.154254	1.83216e-25	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	377	29	CD_delange2017	2.94767e-05	0.401533	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	377	29	CD8NC_onek1k_ENSG00000172954	0.154726	8.24778e-26	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	379	29	CD8NC_onek1k_ENSG00000172954	0.155056	7.01482e-26	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	384	30	PD_nalls2019	3.45479e-05	0.0232274	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	383	30	SCZ_pardinas2018	2.04796e-05	0.359882	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	383	30	CD8NC_onek1k_ENSG00000172954	0.154237	1.8471e-25	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	377	29	UC_delange2017	0.000170244	0.150292	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	385	30	CD8NC_onek1k_ENSG00000172954	0.153982	2.09201e-25	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	384	30	MS_imsgc2019	0.000255575	0.0912462	CD8NC
233	ENSG00000172954	LCLAT1	2	30570092	30967091	372	30	CD8NC_onek1k_ENSG00000172954	0.152604	4.09121e-25	CD8NC
235	ENSG00000152689	RASGRP3	2	33561391	33889817	53	17	BIN_onek1k_ENSG00000152689	0.124488	1.40041e-22	BIN
235	ENSG00000152689	RASGRP3	2	33561391	33889817	46	15	BIN_onek1k_ENSG00000152689	0.121446	1.53623e-22	BIN
235	ENSG00000152689	RASGRP3	2	33561391	33889817	35	12	BIN_onek1k_ENSG00000152689	0.121014	1.81628e-23	BIN
235	ENSG00000152689	RASGRP3	2	33561391	33889817	53	17	PD_nalls2019	4.68164e-06	0.344834	BIN
235	ENSG00000152689	RASGRP3	2	33561391	33889817	49	17	BIN_onek1k_ENSG00000152689	0.125769	7.389e-23	BIN
235	ENSG00000152689	RASGRP3	2	33561391	33889817	51	15	BMem_onek1k_ENSG00000152689	0.062736	1.62537e-10	BMem
235	ENSG00000152689	RASGRP3	2	33561391	33889817	47	14	BMem_onek1k_ENSG00000152689	0.0638709	6.08983e-11	BMem
235	ENSG00000152689	RASGRP3	2	33561391	33889817	25	9	BMem_onek1k_ENSG00000152689	0.0595908	2.47403e-11	BMem
235	ENSG00000152689	RASGRP3	2	33561391	33889817	51	15	PD_nalls2019	2.03517e-05	0.0661329	BMem
235	ENSG00000152689	RASGRP3	2	33561391	33889817	48	15	FTD_ferrari2014	0.000146653	0.395341	BMem
235	ENSG00000152689	RASGRP3	2	33561391	33889817	48	15	BMem_onek1k_ENSG00000152689	0.0628782	1.5279e-10	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	53	17	BIN_onek1k_ENSG00000152689	0.124488	1.40041e-22	BIN
236	ENSG00000152689	RASGRP3	2	33561391	33889817	46	15	BIN_onek1k_ENSG00000152689	0.121446	1.53623e-22	BIN
236	ENSG00000152689	RASGRP3	2	33561391	33889817	35	12	BIN_onek1k_ENSG00000152689	0.121014	1.81628e-23	BIN
236	ENSG00000152689	RASGRP3	2	33561391	33889817	53	17	PD_nalls2019	4.68164e-06	0.344834	BIN
236	ENSG00000152689	RASGRP3	2	33561391	33889817	49	17	BIN_onek1k_ENSG00000152689	0.125769	7.389e-23	BIN
236	ENSG00000152689	RASGRP3	2	33561391	33889817	51	15	BMem_onek1k_ENSG00000152689	0.062736	1.62537e-10	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	47	14	BMem_onek1k_ENSG00000152689	0.0638709	6.08983e-11	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	25	9	BMem_onek1k_ENSG00000152689	0.0595908	2.47403e-11	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	51	15	PD_nalls2019	2.03517e-05	0.0661329	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	48	15	FTD_ferrari2014	0.000146653	0.395341	BMem
236	ENSG00000152689	RASGRP3	2	33561391	33889817	48	15	BMem_onek1k_ENSG00000152689	0.0628782	1.5279e-10	BMem
241	ENSG00000115816	CEBPZ	2	37328755	37558856	26	13	CD4NC_onek1k_ENSG00000115816	0.0502206	1.42959e-08	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	26	13	CD_delange2017	0.000105461	0.189265	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	26	13	PD_nalls2019	1.3775e-05	0.110978	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	26	13	SCZ_pardinas2018	0.000128971	0.0140059	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	26	13	UC_delange2017	0.000208717	0.049703	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	23	11	FTD_ferrari2014	0.000579659	0.185402	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	23	11	CD4NC_onek1k_ENSG00000115816	0.0509982	3.9382e-09	CD4NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	41	9	AD_schwartzentruber2021	4.05848e-05	0.000814842	CD8NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	41	9	CD8NC_onek1k_ENSG00000115816	0.0275782	3.54913e-05	CD8NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	38	9	CD8NC_onek1k_ENSG00000115816	0.0269611	4.56978e-05	CD8NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	41	9	SCZ_pardinas2018	0.000216837	0.000203315	CD8NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	38	9	UC_delange2017	0.00045929	0.000392163	CD8NC
241	ENSG00000115816	CEBPZ	2	37328755	37558856	39	9	CD8NC_onek1k_ENSG00000115816	0.027462	3.72239e-05	CD8NC
241	ENSG00000115825	PRKD3	2	37377645	37651951	117	24	AD_schwartzentruber2021	1.77382e-05	0.113333	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	117	24	BIN_onek1k_ENSG00000115825	0.049353	7.71405e-07	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	114	24	BIN_onek1k_ENSG00000115825	0.0495784	7.11071e-07	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	107	23	BIN_onek1k_ENSG00000115825	0.0486288	7.78163e-07	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	117	24	PD_nalls2019	4.38016e-06	0.336999	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	117	24	SCZ_pardinas2018	0.000329884	9.85315e-05	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	114	24	UC_delange2017	0.000664435	0.000352748	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	115	24	BIN_onek1k_ENSG00000115825	0.049305	7.84881e-07	BIN
241	ENSG00000115825	PRKD3	2	37377645	37651951	50	12	AD_schwartzentruber2021	3.50401e-05	0.00421012	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	50	12	BMem_onek1k_ENSG00000115825	0.0302915	3.39988e-05	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	48	12	CD_delange2017	3.2643e-05	0.343688	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	48	12	BMem_onek1k_ENSG00000115825	0.0303079	3.37828e-05	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	44	11	BMem_onek1k_ENSG00000115825	0.0303855	2.35541e-05	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	50	12	PD_nalls2019	8.19452e-06	0.182153	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	50	12	SCZ_pardinas2018	0.000204187	0.000795847	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	48	12	UC_delange2017	0.000336293	0.00647529	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	50	12	MS_imsgc2019	1.60254e-05	0.393557	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	48	12	BMem_onek1k_ENSG00000115825	0.0302781	3.41758e-05	BMem
241	ENSG00000115825	PRKD3	2	37377645	37651951	221	29	AD_schwartzentruber2021	4.79804e-05	0.00571199	CD4NC
241	ENSG00000115825	PRKD3	2	37377645	37651951	221	29	CD4NC_onek1k_ENSG00000115825	0.103275	1.79233e-15	CD4NC
241	ENSG00000115825	PRKD3	2	37377645	37651951	217	29	CD4NC_onek1k_ENSG00000115825	0.103418	1.68488e-15	CD4NC
