gene_locus	gene_id	chr	start	stop	n_snps	n_pcs	phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p
MAN2B2	ENSG00000013288	4	6476902	6725089	603	161	PD_nalls2019	pqtls_MAN2B2	-0.0597468	-0.1143	-0.00408	0.00356968	6e-05	0.01306	0.0341284
PSAPL1	ENSG00000178597	4	7332022	7536700	1091	223	PD_nalls2019	pqtls_PSAPL1	-0.0109112	-0.06839	0.04687	0.000119054	0	0.00485	0.711799
CPZ	ENSG00000109625	4	8494387	8721488	744	140	PD_nalls2019	pqtls_CPZ	0.0578504	-0.07453	0.18887	0.00334667	0	0.03567	0.38606
BST1	ENSG00000109743	4	15604573	15839936	634	77	PD_nalls2019	pqtls_BST1	0.313912	0.19814	0.42859	0.0985409	0.03926	0.18369	2.87014e-07
FGFBP1	ENSG00000137440	4	15837192	16040363	478	129	PD_nalls2019	pqtls_FGFBP1	-0.142215	-0.33423	0.04658	0.020225	0	0.11171	0.14479
QDPR	ENSG00000151552	4	17361884	17613857	727	126	PD_nalls2019	pqtls_QDPR	0.0219143	-0.0491	0.09163	0.000480235	0	0.00853	0.53853
LAP3	ENSG00000002549	4	17478815	17709595	657	88	PD_nalls2019	pqtls_LAP3	0.0618462	-0.1397	0.26182	0.00382496	0	0.06908	0.541589
SLIT2	ENSG00000145147	4	20154883	20722184	1232	204	PD_nalls2019	pqtls_SLIT2	-0.0697886	-0.1961	0.05771	0.00487045	0	0.03845	0.280486
SLIT2	ENSG00000145147	4	20154883	20722184	1223	204	UC_delange2017	pqtls_SLIT2	0.197546	-0.06058	0.47316	0.0390244	0	0.22388	0.137745
SLIT2	ENSG00000145147	4	20154883	20722184	1205	195	ALS_vanrheenen2021	pqtls_SLIT2	-0.278939	-0.50034	-0.06417	0.0778072	0.00435	0.25034	0.0124969
SOD3	ENSG00000109610	4	24691534	24902464	381	80	PD_nalls2019	pqtls_SOD3	-0.0400249	-0.1326	0.04881	0.001602	0	0.01758	0.388273
KLB	ENSG00000134962	4	39308473	39553156	582	103	PD_nalls2019	pqtls_KLB	-0.0776719	-0.1473	-0.00795	0.00603292	0.00013	0.0217	0.0254396
UGDH	ENSG00000109814	4	39400375	39629931	629	99	PD_nalls2019	pqtls_UGDH	0.148312	0.06122	0.23589	0.0219965	0.00375	0.05564	0.000918857
UBE2K	ENSG00000078140	4	39599664	39884412	605	99	PD_nalls2019	pqtls_UBE2K	-0.222817	-0.37058	-0.07393	0.0496473	0.00547	0.13733	0.00330264
TEC	ENSG00000135605	4	48037800	48371881	787	100	CD_delange2017	pqtls_TEC	0.605906	0.33123	0.91326	0.367122	0.10971	0.83404	0.000132967
TEC	ENSG00000135605	4	48037800	48371881	784	100	PD_nalls2019	pqtls_TEC	0.0243931	-0.1967	0.24072	0.000595022	0	0.0665	0.824541
TEC	ENSG00000135605	4	48037800	48371881	768	79	MS_imsgc2019	pqtls_TEC	-0.112576	-0.48578	0.25322	0.0126733	0	0.24027	0.525134
PDGFRA	ENSG00000134853	4	54995264	55264414	572	111	PD_nalls2019	pqtls_PDGFRA	0.225056	0.04422	0.41012	0.0506504	0.00207	0.1682	0.0164443
PDGFRA	ENSG00000134853	4	54995264	55264414	562	102	SCZ_pardinas2018	pqtls_PDGFRA	-0.111231	-0.44174	0.20118	0.0123724	0	0.19653	0.475437
KDR	ENSG00000128052	4	55844644	56091756	678	126	PD_nalls2019	pqtls_KDR	-0.149804	-0.254	-0.04761	0.0224411	0.00227	0.06452	0.00390629
IGFBP7	ENSG00000163453	4	57796939	58076551	858	139	PD_nalls2019	pqtls_IGFBP7	-0.0406162	-0.12879	0.0464	0.00164967	0	0.01659	0.375538
EPHA5	ENSG00000145242	4	66085281	66636213	1637	170	PD_nalls2019	pqtls_EPHA5	0.0696354	-0.05406	0.1933	0.00484909	0	0.03736	0.270736
HTN3	ENSG00000205649	4	70794130	71002255	515	58	PD_nalls2019	pqtls_HTN3	0.0221452	-0.39293	0.42585	0.000490411	0	0.22956	0.910417
PROL1	ENSG00000171199	4	71163599	71375911	824	50	PD_nalls2019	pqtls_PROL1	0.00819295	-0.36048	0.37695	6.71244e-05	0	0.18087	0.963686
GC	ENSG00000145321	4	72507410	72769758	709	87	PD_nalls2019	pqtls_GC	-0.0451329	-0.20305	0.11334	0.00203698	0	0.04205	0.577146
AFP	ENSG00000081051	4	74196855	74421891	492	58	PD_nalls2019	pqtls_AFP	-0.0291287	-0.31478	0.24798	0.000848483	0	0.11403	0.835894
AFM	ENSG00000079557	4	74247400	74469691	465	54	PD_nalls2019	pqtls_AFM	-0.0453048	-0.16858	0.07571	0.00205252	0	0.02843	0.462802
CXCL6	ENSG00000124875	4	74602214	74814781	412	75	PD_nalls2019	pqtls_CXCL6	-0.146546	-0.25806	-0.03679	0.0214758	0.00137	0.06659	0.0100834
PF4V1	ENSG00000109272	4	74618906	74819872	399	77	PD_nalls2019	pqtls_PF4V1	0.363589	0.12943	0.61077	0.132197	0.01675	0.37304	0.00325244
CXCL1	ENSG00000163739	4	74635110	74836959	380	73	PD_nalls2019	pqtls_CXCL1	0.0341836	-0.07115	0.13603	0.00116852	0	0.01879	0.521335
PF4	ENSG00000163737	4	74746794	74947841	277	69	PD_nalls2019	pqtls_PF4	-0.181572	-0.33951	-0.02042	0.0329685	0.00087	0.11526	0.025185
NAAA	ENSG00000138744	4	76731809	76962204	489	80	PD_nalls2019	pqtls_NAAA	0.0939972	0.00997	0.17824	0.00883548	0.00017	0.03177	0.0295634
ART3	ENSG00000156219	4	76832337	77133955	1058	80	PD_nalls2019	pqtls_ART3	-0.00103279	-0.13248	0.13039	1.06666e-06	0	0.02237	0.987341
CXCL11	ENSG00000169248	4	76854835	77062568	737	54	PD_nalls2019	pqtls_CXCL11	-0.293794	-0.56821	-0.02146	0.0863152	0.00176	0.32286	0.0356136
ANTXR2	ENSG00000163297	4	80722303	81146608	894	96	PD_nalls2019	pqtls_ANTXR2	0.0601219	-0.03756	0.16067	0.00361464	0	0.02582	0.235321
NUDT9	ENSG00000170502	4	88243734	88480606	581	77	PD_nalls2019	pqtls_NUDT9	-0.230287	-0.44737	-0.01641	0.0530319	0.00122	0.20014	0.0389549
SPARCL1	ENSG00000152583	4	88294487	88552213	595	100	PD_nalls2019	pqtls_SPARCL1	-0.0295601	-0.19158	0.13777	0.000873802	0	0.0381	0.718931
IBSP	ENSG00000029559	4	88620733	88833074	834	69	PD_nalls2019	pqtls_IBSP	-0.453762	-0.83586	-0.09783	0.2059	0.01047	0.69867	0.0140948
SPP1	ENSG00000118785	4	88796819	89004562	595	74	PD_nalls2019	pqtls_SPP1	0.272099	0.03022	0.51672	0.0740378	0.00159	0.267	0.0297042
HPGDS	ENSG00000163106	4	95119686	95364027	455	61	PD_nalls2019	pqtls_HPGDS	-0.00684857	-0.08784	0.07455	4.6903e-05	0	0.00888	0.869354
UNC5C	ENSG00000182168	4	95983655	96570357	1562	218	PD_nalls2019	pqtls_UNC5C	-0.174633	-0.26948	-0.08083	0.0304966	0.00653	0.07262	0.000324822
ADH5	ENSG00000197894	4	99892132	100109952	638	48	PD_nalls2019	pqtls_ADH5	0.0822839	-0.05035	0.21685	0.00677063	0	0.04702	0.225492
ADH4	ENSG00000198099	4	99944808	100178949	655	49	PD_nalls2019	pqtls_ADH4	0.0747012	-0.04113	0.1921	0.00558026	0	0.0369	0.202964
ADH6	ENSG00000172955	4	100023795	100240694	596	50	PD_nalls2019	pqtls_ADH6	0.0583535	-0.04908	0.16813	0.00340513	0	0.02827	0.284096
ADH1A	ENSG00000187758	4	100097524	100312185	647	62	PD_nalls2019	pqtls_ADH1A	-0.0310618	-0.15148	0.09221	0.000964837	0	0.02382	0.615985
ADH7	ENSG00000196344	4	100233418	100456894	770	89	PD_nalls2019	pqtls_ADH7	-0.0651849	-0.21919	0.08427	0.00424907	0	0.04806	0.409292
DAPP1	ENSG00000070190	4	100637990	100891311	535	85	PD_nalls2019	pqtls_DAPP1	-0.0552054	-0.18226	0.07053	0.00304764	0	0.03326	0.38857
DAPP1	ENSG00000070190	4	100637990	100891311	535	81	MS_imsgc2019	pqtls_DAPP1	-0.0411061	-0.31284	0.22763	0.00168971	0	0.10713	0.753331
MANBA	ENSG00000109323	4	103452660	103782151	525	58	PD_nalls2019	pqtls_MANBA	-0.0129267	-0.15893	0.13379	0.000167099	0	0.02864	0.862505
BDH2	ENSG00000164039	4	103900592	104121040	317	50	PD_nalls2019	pqtls_BDH2	0.012293	-0.15906	0.18418	0.000151118	0	0.03905	0.887904
NPNT	ENSG00000168743	4	106715932	107025184	632	97	PD_nalls2019	pqtls_NPNT	-0.187134	-0.30972	-0.06211	0.035019	0.00386	0.09592	0.00309718
DKK2	ENSG00000155011	4	107742959	108304963	1035	169	PD_nalls2019	pqtls_DKK2	-0.0631479	-0.23638	0.10525	0.00398766	0	0.05627	0.470456
HADH	ENSG00000138796	4	108810870	109056331	451	72	PD_nalls2019	pqtls_HADH	0.0786555	-0.12079	0.28236	0.00618669	0	0.07996	0.436292
CFI	ENSG00000205403	4	110561852	110823335	514	84	PD_nalls2019	pqtls_CFI	-0.210336	-0.44528	0.0208	0.0442411	0	0.19828	0.0745692
EGF	ENSG00000138798	4	110734040	111033422	626	112	PD_nalls2019	pqtls_EGF	-0.0610635	-0.22077	0.0966	0.00372875	0	0.04888	0.44949
ENPEP	ENSG00000138792	4	111186889	111586441	863	157	PD_nalls2019	pqtls_ENPEP	-0.00826205	-0.07479	0.05985	6.82615e-05	0	0.00625	0.811665
FABP2	ENSG00000145384	4	120138405	120343545	589	47	PD_nalls2019	pqtls_FABP2	0.0883743	-0.02139	0.19767	0.00781002	0	0.03907	0.118937
PDE5A	ENSG00000138735	4	120315550	120650146	762	72	PD_nalls2019	pqtls_PDE5A	0.139687	0.04396	0.23914	0.0195126	0.00193	0.05719	0.00542613
FGF2	ENSG00000138685	4	123647863	123919391	653	73	PD_nalls2019	pqtls_FGF2	0.156817	-0.02894	0.33468	0.0245914	0	0.11201	0.0998
HHIP	ENSG00000164161	4	145467173	145766423	414	81	PD_nalls2019	pqtls_HHIP	0.0175378	-0.17401	0.21022	0.000307576	0	0.04906	0.851697
SMAD1	ENSG00000170365	4	146302346	146579231	486	101	PD_nalls2019	pqtls_SMAD1	0.118115	-0.1621	0.41113	0.0139512	0	0.17102	0.398493
ARFIP1	ENSG00000164144	4	153601089	153939615	669	130	PD_nalls2019	pqtls_ARFIP1	0.0787228	-0.01059	0.16912	0.00619728	0	0.0286	0.0824566
FGG	ENSG00000171557	4	155425286	155634119	367	80	PD_nalls2019	pqtls_FGG	-0.0481375	-0.23229	0.13527	0.00231722	0	0.05475	0.609248
CTSO	ENSG00000256043	4	156745270	156975069	727	81	PD_nalls2019	pqtls_CTSO	-0.0515272	-0.18668	0.08844	0.00265505	0	0.03505	0.458755
PPID	ENSG00000171497	4	159530286	159744548	237	57	PD_nalls2019	pqtls_PPID	-0.0420437	-0.13636	0.05194	0.00176767	0	0.01866	0.383865
TLL1	ENSG00000038295	4	166694410	167125047	1077	165	PD_nalls2019	pqtls_TLL1	0.14999	-0.03575	0.34264	0.0224969	0	0.1174	0.114041
TLL1	ENSG00000038295	4	166694410	167125047	1085	162	UC_delange2017	pqtls_TLL1	0.0782097	-0.30417	0.46768	0.00611676	0	0.22793	0.673441
SPOCK3	ENSG00000196104	4	167554535	168255947	1741	169	PD_nalls2019	pqtls_SPOCK3	0.0654902	0.00379	0.1255	0.00428896	7e-05	0.01575	0.0365662
VEGFC	ENSG00000150630	4	177504689	177813881	738	112	PD_nalls2019	pqtls_VEGFC	0.187141	0.0446	0.32801	0.0350216	0.00208	0.10759	0.0086567
CASP3	ENSG00000164305	4	185448850	185670663	659	113	PD_nalls2019	pqtls_CASP3	0.0908348	0.00966	0.17209	0.00825096	0.00019	0.02961	0.0290486
TLR3	ENSG00000164342	4	186890306	187109223	647	148	PD_nalls2019	pqtls_TLR3	0.0164599	-0.0461	0.07803	0.000270928	0	0.00615	0.601342
KLKB1	ENSG00000164344	4	187030133	187279625	652	135	CD_delange2017	pqtls_KLKB1	-0.088376	-0.30953	0.12513	0.00781031	0	0.09637	0.418578
KLKB1	ENSG00000164344	4	187030133	187279625	661	137	PD_nalls2019	pqtls_KLKB1	0.00105587	-0.11105	0.1135	1.11486e-06	0	0.0163	0.985313
F11	ENSG00000088926	4	187087099	187310835	626	123	PD_nalls2019	pqtls_F11	-0.0139579	-0.11746	0.08679	0.000194823	0	0.01481	0.785375
PDCD6	ENSG00000249915	5	171736	453971	824	90	PD_nalls2019	pqtls_PDCD6	0.053965	-0.11058	0.21848	0.00291222	0	0.04811	0.522193
PDCD6	ENSG00000249915	5	171736	453971	827	91	UC_delange2017	pqtls_PDCD6	0.120245	-0.21041	0.46144	0.0144589	0	0.21359	0.462483
SEMA5A	ENSG00000112902	5	8935138	9646187	2025	253	PD_nalls2019	pqtls_SEMA5A	-0.00433365	-0.06036	0.05152	1.87805e-05	0	0.00428	0.877207
CCT5	ENSG00000150753	5	10150033	10366524	497	104	PD_nalls2019	pqtls_CCT5	-0.0614759	-0.27385	0.15659	0.00377929	0	0.077	0.566923
TARS	ENSG00000113407	5	33340802	33569644	493	85	PD_nalls2019	pqtls_TARS	-0.00533249	-0.15907	0.14404	2.84355e-05	0	0.0304	0.945244
C1QTNF3	ENSG00000082196	5	33919553	34143937	333	72	PD_nalls2019	pqtls_C1QTNF3	-0.00267414	-0.15806	0.15126	7.15103e-06	0	0.03158	0.972818
IL7R	ENSG00000168685	5	35752797	35979705	533	78	PD_nalls2019	pqtls_IL7R	0.047026	-0.22158	0.31077	0.00221145	0	0.10256	0.71853
IL7R	ENSG00000168685	5	35752797	35979705	528	71	MS_imsgc2019	pqtls_IL7R	0.299562	-0.03191	0.65372	0.0897373	0	0.42735	0.085436
EGFLAM	ENSG00000164318	5	38158511	38565123	742	140	PD_nalls2019	pqtls_EGFLAM	0.00856522	-0.11774	0.13413	7.3363e-05	0	0.0215	0.895937
LIFR	ENSG00000113594	5	38375065	38708456	493	111	PD_nalls2019	pqtls_LIFR	-0.0701498	-0.18403	0.04768	0.00492099	0	0.03387	0.232458
C9	ENSG00000113600	5	39184364	39524970	768	132	PD_nalls2019	pqtls_C9	0.170986	0.05534	0.2837	0.0292361	0.00306	0.08049	0.00385306
C7	ENSG00000112936	5	40809354	41083041	811	107	CD_delange2017	pqtls_C7	0.274278	0.16673	0.38339	0.0752284	0.0278	0.14699	5.39411e-06
C7	ENSG00000112936	5	40809354	41083041	810	109	PD_nalls2019	pqtls_C7	-0.0366321	-0.17904	0.10313	0.00134191	0	0.0325	0.602719
C6	ENSG00000039537	5	41042336	41361540	745	95	PD_nalls2019	pqtls_C6	0.00546507	-0.12134	0.132	2.98669e-05	0	0.02074	0.93224
GHR	ENSG00000112964	5	42323879	42821979	890	101	PD_nalls2019	pqtls_GHR	-0.122122	-0.28182	0.03933	0.0149137	0	0.07942	0.135431
CCL28	ENSG00000151882	5	43276747	43512493	441	61	PD_nalls2019	pqtls_CCL28	0.201739	-0.06027	0.46266	0.0406987	0	0.21405	0.129361
ITGA2	ENSG00000164171	5	52185156	52490609	904	94	PD_nalls2019	pqtls_ITGA2	-0.121572	-0.41802	0.15578	0.0147799	0	0.17474	0.377821
ESM1	ENSG00000164283	5	54173692	54418499	548	107	PD_nalls2019	pqtls_ESM1	-0.286617	-0.42738	-0.14261	0.0821496	0.02034	0.18265	0.000138922
GZMK	ENSG00000113088	5	54220081	54430398	441	91	PD_nalls2019	pqtls_GZMK	0.121992	-0.05938	0.3015	0.014882	0	0.0909	0.191137
GZMA	ENSG00000145649	5	54298476	54506080	391	66	PD_nalls2019	pqtls_GZMA	0.232732	-0.12033	0.615	0.054164	0	0.37953	0.195594
IL6ST	ENSG00000134352	5	55130923	55390821	478	104	PD_nalls2019	pqtls_IL6ST	0.0756058	-0.04526	0.19587	0.00571623	0	0.03836	0.208283
HEXB	ENSG00000049860	5	73835848	74118472	537	99	PD_nalls2019	pqtls_HEXB	0.0721043	-0.07264	0.21627	0.00519903	0	0.04677	0.322018
CRHBP	ENSG00000145708	5	76148538	76376983	523	99	PD_nalls2019	pqtls_CRHBP	-0.00843516	-0.11397	0.09803	7.1152e-05	0	0.01502	0.875308
ARSB	ENSG00000113273	5	77973032	78381910	1011	170	PD_nalls2019	pqtls_ARSB	0.0245047	-0.08889	0.138	0.00060048	0	0.01977	0.6676
THBS4	ENSG00000113296	5	79187134	79479110	655	151	PD_nalls2019	pqtls_THBS4	0.0115585	-0.07265	0.09758	0.0001336	0	0.01014	0.787944
XRCC4	ENSG00000152422	5	82273317	82749606	840	130	PD_nalls2019	pqtls_XRCC4	0.202994	0.05045	0.35825	0.0412067	0.00261	0.12835	0.00893477
HAPLN1	ENSG00000145681	5	82833624	83117432	595	135	PD_nalls2019	pqtls_HAPLN1	-0.0911826	-0.25389	0.06811	0.00831428	0	0.06446	0.270779
EDIL3	ENSG00000164176	5	83136373	83780611	1048	197	CD_delange2017	pqtls_EDIL3	0.203023	-0.12442	0.54652	0.0412183	0	0.29868	0.213894
EDIL3	ENSG00000164176	5	83136373	83780611	1065	200	PD_nalls2019	pqtls_EDIL3	0.0896468	-0.10694	0.29552	0.00803655	0	0.08736	0.377878
CCNH	ENSG00000134480	5	86587311	86808836	221	49	PD_nalls2019	pqtls_CCNH	0.164489	-0.24952	0.6058	0.0270566	0	0.36967	0.418878
ARSK	ENSG00000164291	5	94790778	95040768	432	75	PD_nalls2019	pqtls_ARSK	-0.117315	-0.39586	0.15524	0.0137627	0	0.15675	0.391978
GLRX	ENSG00000173221	5	94987023	95258709	609	129	PD_nalls2019	pqtls_GLRX	-0.236732	-0.49275	0.00965	0.0560421	0	0.2428	0.0633891
PCSK1	ENSG00000175426	5	95626119	95869847	449	101	PD_nalls2019	pqtls_PCSK1	-0.0802133	-0.15673	-0.00096	0.00643418	7e-05	0.02456	0.0458516
ERAP1	ENSG00000164307	5	95996521	96243803	787	84	CD_delange2017	pqtls_ERAP1	-0.22769	-0.45126	-0.01337	0.0518429	0.00086	0.20364	0.0343187
ERAP1	ENSG00000164307	5	95996521	96243803	793	83	PD_nalls2019	pqtls_ERAP1	-0.128811	-0.24076	-0.01817	0.0165922	0.00048	0.05797	0.0241985
ERAP2	ENSG00000164308	5	96111643	96355420	771	65	CD_delange2017	pqtls_ERAP2	0.510031	0.31643	0.7278	0.260132	0.10013	0.52969	1.11098e-05
ERAP2	ENSG00000164308	5	96111643	96355420	772	65	PD_nalls2019	pqtls_ERAP2	-0.107454	-0.19935	-0.01476	0.0115463	0.00032	0.03974	0.0228968
RGMB	ENSG00000174136	5	98004354	98234347	386	67	PD_nalls2019	pqtls_RGMB	0.00675643	-0.14307	0.15427	4.56493e-05	0	0.02853	0.928002
PAM	ENSG00000145730	5	101989685	102466809	1059	70	PD_nalls2019	pqtls_PAM	0.217523	0.02719	0.41264	0.0473162	0.00125	0.17027	0.0265797
NUDT12	ENSG00000112874	5	102784556	102998494	413	94	PD_nalls2019	pqtls_NUDT12	-0.000805296	-0.13507	0.13411	6.48501e-07	0	0.02388	0.990481
EFNA5	ENSG00000184349	5	106612590	107106596	1086	203	CD_delange2017	pqtls_EFNA5	-0.059582	-0.28883	0.15258	0.00355002	0	0.08464	0.585502
EFNA5	ENSG00000184349	5	106612590	107106596	1105	206	PD_nalls2019	pqtls_EFNA5	0.0240888	-0.04969	0.09798	0.000580269	0	0.00966	0.525674
EFNA5	ENSG00000184349	5	106612590	107106596	1086	193	SCZ_pardinas2018	pqtls_EFNA5	-0.0362023	-0.23665	0.15723	0.00131061	0	0.05867	0.714689
EFNA5	ENSG00000184349	5	106612590	107106596	1086	203	UC_delange2017	pqtls_EFNA5	0.103135	-0.09536	0.30509	0.0106368	0	0.09312	0.299244
FER	ENSG00000151422	5	107983523	108632542	1765	151	PD_nalls2019	pqtls_FER	-0.0338285	-0.16651	0.09827	0.00114437	0	0.02837	0.618609
SEMA6A	ENSG00000092421	5	115679312	116010630	967	202	PD_nalls2019	pqtls_SEMA6A	0.0388988	-0.05056	0.13031	0.00151312	0	0.01708	0.39854
TNFAIP8	ENSG00000145779	5	118504387	118835383	641	122	PD_nalls2019	pqtls_TNFAIP8	0.0563709	-0.07868	0.19008	0.00317768	0	0.03624	0.415558
TNFAIP8	ENSG00000145779	5	118504387	118835383	617	106	MS_imsgc2019	pqtls_TNFAIP8	0.06033	-0.14401	0.26548	0.00363971	0	0.07115	0.551098
PPIC	ENSG00000168938	5	122258945	122472436	622	72	PD_nalls2019	pqtls_PPIC	0.0895633	-0.0187	0.19575	0.00802159	0	0.03832	0.106928
ISOC1	ENSG00000066583	5	128330444	128549721	626	73	PD_nalls2019	pqtls_ISOC1	-0.185453	-0.44481	0.07058	0.0343929	0	0.19785	0.158338
HINT1	ENSG00000169567	5	130394720	130607428	386	34	CD_delange2017	pqtls_HINT1	-0.653306	-0.86269	-0.43825	0.426809	0.19207	0.74423	1.34136e-06
HINT1	ENSG00000169567	5	130394720	130607428	381	36	PD_nalls2019	pqtls_HINT1	-0.0437161	-0.38016	0.29423	0.0019111	0	0.16306	0.789828
PDLIM4	ENSG00000131435	5	131493364	131709147	430	54	CD_delange2017	pqtls_PDLIM4	0.116594	-0.08514	0.3139	0.0135942	0	0.09853	0.241647
PDLIM4	ENSG00000131435	5	131493364	131709147	422	54	PD_nalls2019	pqtls_PDLIM4	0.0717481	-0.10269	0.25037	0.0051478	0	0.06271	0.425755
FSTL4	ENSG00000053108	5	132432147	133048255	1580	264	AD_schwartzentruber2021	pqtls_FSTL4	-0.0555409	-0.35127	0.23142	0.00308479	0	0.13001	0.693088
FSTL4	ENSG00000053108	5	132432147	133048255	1547	265	CD_delange2017	pqtls_FSTL4	-0.16093	-0.4252	0.09514	0.0258984	0	0.1808	0.211507
FSTL4	ENSG00000053108	5	132432147	133048255	1554	263	PD_nalls2019	pqtls_FSTL4	-0.0329191	-0.18405	0.11801	0.00108367	0	0.0348	0.664119
FSTL4	ENSG00000053108	5	132432147	133048255	1535	257	SCZ_pardinas2018	pqtls_FSTL4	-0.0525281	-0.2686	0.16075	0.0027592	0	0.07505	0.621234
FSTL4	ENSG00000053108	5	132432147	133048255	1555	263	ALS_vanrheenen2021	pqtls_FSTL4	0.0537452	-0.22475	0.34748	0.00288854	0	0.12594	0.699846
TXNDC15	ENSG00000113621	5	134109493	134337215	220	57	PD_nalls2019	pqtls_TXNDC15	0.0377679	-0.08025	0.15787	0.00142642	0	0.02513	0.528756
TGFBI	ENSG00000120708	5	135264584	135499507	534	92	PD_nalls2019	pqtls_TGFBI	-0.0427567	-0.12349	0.0395	0.00182814	0	0.01525	0.300406
LRRTM2	ENSG00000146006	5	138104612	138311057	254	47	PD_nalls2019	pqtls_LRRTM2	-0.0606445	-0.32051	0.19639	0.00367776	0	0.10575	0.641861
HBEGF	ENSG00000113070	5	139612428	139826216	244	61	PD_nalls2019	pqtls_HBEGF	-0.490042	-0.83758	-0.18041	0.240141	0.03268	0.70155	0.00390437
SRA1	ENSG00000213523	5	139816925	140037895	213	55	CD_delange2017	pqtls_SRA1	0.373232	0.10338	0.67584	0.139302	0.01102	0.45676	0.0094172
SRA1	ENSG00000213523	5	139816925	140037895	220	57	PD_nalls2019	pqtls_SRA1	0.188171	-0.04508	0.4234	0.0354082	0	0.17927	0.111632
CD14	ENSG00000170458	5	139911313	140113286	265	53	CD_delange2017	pqtls_CD14	-0.333266	-0.65256	-0.0442	0.111066	0.003	0.42583	0.0273584
CD14	ENSG00000170458	5	139911313	140113286	275	55	PD_nalls2019	pqtls_CD14	-0.0894606	-0.30344	0.12681	0.0080032	0	0.09217	0.405323
HARS	ENSG00000170445	5	139952758	140171609	368	60	PD_nalls2019	pqtls_HARS	-0.396067	-0.74566	-0.06665	0.156869	0.00559	0.55601	0.0232836
SPINK5	ENSG00000133710	5	147305246	147616852	874	84	PD_nalls2019	pqtls_SPINK5	-0.0766448	-0.23972	0.07904	0.00587443	0	0.05747	0.336267
IL17B	ENSG00000127743	5	148650887	148883765	517	142	PD_nalls2019	pqtls_IL17B	-0.176718	-0.31945	-0.03431	0.0312293	0.00133	0.10205	0.0152749
IL17B	ENSG00000127743	5	148650887	148883765	496	139	UC_delange2017	pqtls_IL17B	-0.0688027	-0.37384	0.22718	0.0047338	0	0.14491	0.640873
CSF1R	ENSG00000182578	5	149332854	149592935	574	149	PD_nalls2019	pqtls_CSF1R	-0.102571	-0.19828	-0.00751	0.0105208	2e-04	0.03931	0.0371147
PDGFRB	ENSG00000113721	5	149393400	149635435	573	153	PD_nalls2019	pqtls_PDGFRB	-0.0410374	-0.0928	0.01069	0.00168407	0	0.00861	0.123034
NDST1	ENSG00000070614	5	149765381	150037773	567	131	PD_nalls2019	pqtls_NDST1	-0.15348	-0.2758	-0.03675	0.0235562	0.00142	0.07607	0.0137087
NDST1	ENSG00000070614	5	149765381	150037773	559	116	MS_imsgc2019	pqtls_NDST1	0.198109	-0.02508	0.4222	0.0392471	0	0.17825	0.0793076
SPARC	ENSG00000113140	5	150940657	151166726	482	118	PD_nalls2019	pqtls_SPARC	-0.152328	-0.29636	-0.00669	0.0232037	0.00026	0.08783	0.0394352
SPARC	ENSG00000113140	5	150940657	151166726	464	103	MS_imsgc2019	pqtls_SPARC	-0.12996	-0.38629	0.11534	0.0168897	0	0.14922	0.303121
ATOX1	ENSG00000177556	5	151021877	151252093	398	84	PD_nalls2019	pqtls_ATOX1	0.0215986	-0.1462	0.18388	0.0004665	0	0.03687	0.794939
ATOX1	ENSG00000177556	5	151021877	151252093	359	63	MS_imsgc2019	pqtls_ATOX1	-0.177821	-0.45369	0.09587	0.0316203	0	0.20583	0.194208
G3BP1	ENSG00000145907	5	151050606	151292346	402	78	PD_nalls2019	pqtls_G3BP1	-0.0416939	-0.25446	0.16798	0.00173838	0	0.06881	0.694426
G3BP1	ENSG00000145907	5	151050606	151292346	355	56	MS_imsgc2019	pqtls_G3BP1	-0.431302	-0.76849	-0.10896	0.186021	0.01255	0.59057	0.0120538
TIMD4	ENSG00000145850	5	156246293	156490266	634	78	PD_nalls2019	pqtls_TIMD4	-0.0678835	-0.2404	0.10837	0.00460817	0	0.05779	0.447757
HAVCR1	ENSG00000113249	5	156356424	156586130	593	78	PD_nalls2019	pqtls_HAVCR1	-0.0518705	-0.19375	0.0897	0.00269055	0	0.03777	0.470482
THG1L	ENSG00000113272	5	157058205	157268456	557	81	PD_nalls2019	pqtls_THG1L	0.190105	0.03295	0.34769	0.0361398	0.00136	0.12089	0.0192044
CLINT1	ENSG00000113282	5	157112751	157386183	812	103	PD_nalls2019	pqtls_CLINT1	0.0537825	-0.15523	0.2538	0.00289255	0	0.06573	0.601859
UBLCP1	ENSG00000164332	5	158590089	158813044	386	78	CD_delange2017	pqtls_UBLCP1	0.289182	0.02338	0.55922	0.0836262	0.00176	0.31272	0.0348963
UBLCP1	ENSG00000164332	5	158590089	158813044	393	79	PD_nalls2019	pqtls_UBLCP1	0.214309	-0.01994	0.44815	0.0459285	0	0.20084	0.0756612
UBLCP1	ENSG00000164332	5	158590089	158813044	386	78	UC_delange2017	pqtls_UBLCP1	0.199846	-0.0798	0.48077	0.0399385	0	0.23114	0.163386
UBLCP1	ENSG00000164332	5	158590089	158813044	371	64	MS_imsgc2019	pqtls_UBLCP1	-0.0479566	-0.42999	0.33606	0.00229984	0	0.20295	0.798007
IL12B	ENSG00000113302	5	158641791	158857895	396	77	CD_delange2017	pqtls_IL12B	0.644225	0.54223	0.74721	0.415025	0.29402	0.55832	7.49915e-23
